Entity,Year,Beds in for-profit privately owned hospitals (number) (OECD),"Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in not-for-profit privately owned hospitals (number) (OECD),"Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)",Beds in publicly owned hospitals (number) (OECD),"Beds in publicly owned hospitals (per 1,000 population) (OECD)",Acute care beds (number) (OECD),"Acute care beds (per 1,000 population) (OECD)","Dentists (per 100,000 population) (OECD)",Dentists (headcount) (OECD),For-profit privately owned hospitals (number) (OECD),For-profit privately owned hospitals (per million population) (OECD),General hospitals (number) (OECD),General hospitals (per million population) (OECD),Hospitals (number) (OECD),Hospitals (per million population) (OECD),Long-term care beds (number) (OECD),"Long-term care beds (per 1,000 population) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)",Midwives (headcount) (OECD),"Midwives (per 1,000 live births) (OECD)",Not-for-profit privately owned hospitals (number) (OECD),Not-for-profit privately owned hospitals (per million population) (OECD),"Nurses (per 1,000 population) (OECD)",Nurses (headcount) (OECD),"Physicians (per 1,000 population) (OECD)",Physicians (headcount) (OECD),Psychiatric care beds (number) (OECD),"Psychiatric care beds (per 1,000 population) (OECD)","Psychiatrists (per 1,000 population) (OECD)",Psychiatrists (headcount) (OECD),Publicly owned hospitals (number) (OECD),Publicly owned hospitals (per million population) (OECD),"Surgical specialists (per 1,000 population) (OECD)",Surgical specialists (headcount) (OECD),Hospital beds (number) (OECD),"Hospital beds, nurse-to-bed ratio (OECD)","Hospital beds (per 1,000 population) (OECD)"
Ireland,2008,,,,,,,11346,2.53,0.6,2714,,,52,11.58,176,39.2,6728,1.5,14.01,,,,,15.28,68614,3.95,17727,3511,0.78,0.13,564,,,0.27,1234,21789,0.95,4.85
Ireland,2009,,,,,,,11755,2.59,0.6,2702,25,5.51,57,12.57,101,22.27,932,0.21,1.88,,,,,15.1,68483,4,18153,1760,0.39,0.14,619,,,0.3,1340,12813,1.59,2.83
Ireland,2010,,,,,,,11417,2.5,0.6,2721,25,5.48,56,12.28,99,21.71,888,0.19,1.74,,,,,14.78,67415,4.13,18821,1748,0.38,0.14,651,,,0.33,1487,12434,1.59,2.73
Ireland,2011,,,,,,,11116,2.43,0.58,2667,25,5.46,56,12.23,98,21.4,763,0.17,1.45,,,,,14.66,67130,4.1,18795,1624,0.35,0.24,1096,,,0.53,2421,12008,1.65,2.62
Ireland,2012,,,,,,,10885,2.37,0.58,2661,24,5.22,55,11.96,95,20.65,675,0.15,1.24,,,,,14.54,66888,3.95,18167,1609,0.35,0.21,978,,,0.49,2255,11692,1.66,2.54
Ireland,2013,,,,,,,11005,2.38,0.57,2649,,,,,,,692,0.15,1.23,,,,,14.36,66409,3.93,18160,1610,0.35,0.19,896,,,0.48,2237,11837,1.62,2.56
Ireland,2014,,,,,,,11241,2.41,0.59,2758,,,,,,,587,0.13,1,18217,270.68,,,13.91,64790,4.09,19040,1640,0.35,0.16,760,,,0.4,1886,11989,1.65,2.57
Ireland,2015,,,,,,,12931,2.75,0.6,2828,,,,,,,640,0.14,1.06,18122,276.5,,,13.87,65203,4.36,20481,1629,0.35,0.16,762,,,0.42,1975,13730,1.48,2.92
Ireland,2016,,,,,,,13255,2.79,0.62,2949,19,4,56,11.78,86,18.08,709,0.15,1.14,18155,284.38,,,14.21,67559,4.58,21801,1630,0.34,0.18,837,,,0.46,2167,14131,1.47,2.97
Ireland,2017,,,,,,,13297,2.77,0.65,3113,19,3.95,56,11.65,86,17.89,741,0.15,1.15,18051,291.99,,,14.76,70953,4.73,22733,1631,0.34,0.18,869,,,0.46,2229,14217,1.51,2.96
Ireland,2018,,,,,,,,,0.67,3217,,,,,,,,,,,,,,,,4.82,23306,,,0.17,806,,,0.47,2270,,,
Israel,2005,3104,0.45,4683,0.68,18010,2.6,18752,2.71,1.22,8432,25,3.61,46,6.64,86,12.41,5252,0.76,7.64,1848,12.84,23,3.32,7.19,49810,4.2,29110,5334,0.77,0.19,1283,38,5.48,0.58,4000,25797,0.97,3.72
Israel,2006,2169,0.31,4715,0.67,17056,2.42,17808,2.52,1.22,8611,22,3.12,45,6.38,81,11.48,4249,0.6,6.09,1922,12.97,23,3.26,7.2,50775,4.18,29471,3453,0.49,0.18,1290,36,5.1,0.57,4055,23940,1.08,3.39
Israel,2007,2266,0.32,4736,0.66,17056,2.38,17820,2.48,1.22,8735,24,3.34,46,6.41,85,11.84,4332,0.6,6.14,1951,12.86,25,3.48,7.21,51746,4.15,29779,3453,0.48,0.18,1312,36,5.01,0.57,4097,24058,1.08,3.35
Israel,2008,2272,0.31,4758,0.65,17056,2.33,17818,2.44,1.22,8911,24,3.28,46,6.29,85,11.63,4338,0.59,6.1,2010,12.81,25,3.42,7.2,52605,4.13,30163,3451,0.47,0.18,1328,36,4.93,0.57,4173,24086,1.1,3.3
Israel,2009,2746,0.37,4146,0.55,17007,2.27,17827,2.38,1.22,9104,25,3.34,45,6.01,85,11.36,4205,0.56,5.73,2054,12.75,24,3.21,7.14,53455,4.11,30729,3451,0.46,0.18,1338,36,4.81,0.57,4272,23899,1.03,3.19
Israel,2010,2810,0.37,4144,0.54,17125,2.25,17959,2.36,1.22,9306,26,3.41,46,6.03,86,11.28,4233,0.56,5.63,2122,12.76,24,3.15,7.1,54126,4.1,31257,3451,0.45,0.18,1364,36,4.72,0.58,4389,24079,1.06,3.16
Israel,2011,2880,0.37,4388,0.57,17130,2.21,18015,2.32,1.22,9479,26,3.35,46,5.92,87,11.2,4382,0.56,5.59,2252,13.54,25,3.22,7.05,54770,4.11,31929,3459,0.45,0.18,1385,36,4.64,0.58,4512,24398,1.11,3.14
Israel,2012,2872,0.36,4349,0.55,17309,2.19,18224,2.3,1.23,9714,26,3.29,45,5.69,86,10.87,4269,0.54,5.24,2324,13.6,24,3.03,7.04,55716,4.12,32610,3467,0.44,0.18,1393,36,4.55,0.58,4624,24530,1.03,3.1
Israel,2013,2882,0.36,4565,0.57,17472,2.17,18600,2.31,1.24,9982,25,3.1,45,5.58,86,10.67,4262,0.53,5.01,2402,14.01,24,2.98,7.04,56775,4.14,33371,3425,0.42,0.17,1384,37,4.59,0.58,4697,24919,0.98,3.09
Israel,2014,2888,0.35,4603,0.56,17777,2.16,18799,2.29,1.24,10199,24,2.92,44,5.36,85,10.35,4236,0.52,4.8,2471,14.01,24,2.92,7.12,58456,4.17,34298,3503,0.43,0.17,1378,37,4.5,0.58,4780,25268,1.03,3.08
Israel,2015,2859,0.34,4699,0.56,17797,2.12,18830,2.25,1.25,10491,23,2.74,44,5.25,84,10.02,4142,0.49,4.5,2556,14.3,24,2.86,7.14,59853,4.2,35206,3508,0.42,0.17,1399,37,4.42,0.59,4954,25355,1.02,3.03
Israel,2016,2899,0.34,4724,0.55,17894,2.09,18958,2.22,1.27,10840,23,2.69,44,5.15,84,9.83,4206,0.49,4.39,2618,14.43,24,2.81,7.2,61529,4.24,36210,3567,0.42,0.16,1398,37,4.33,0.59,5076,25517,1.04,2.99
Israel,2017,3441,0.39,5006,0.57,17891,2.05,19212,2.2,1.3,11305,23,2.64,45,5.16,85,9.76,4732,0.54,4.74,2691,14.65,25,2.87,7.31,63681,4.29,37401,3579,0.41,0.16,1420,37,4.25,0.61,5280,26338,1.06,3.02
Israel,2018,3247,0.37,5249,0.59,18009,2.03,19389,2.19,1.31,11632,22,2.48,45,5.07,85,9.58,4722,0.53,4.57,2768,,26,2.93,7.41,65775,4.37,38765,3591,0.4,,,37,4.17,,,26505,1,2.99
Italy,2005,65924,1.14,6756,0.12,161695,2.79,201667,3.48,0.8,46414,,,1123,19.37,1295,22.34,10047,0.17,0.89,15247,27.52,,,5.79,335811,6.05,350952,7761,0.13,0.19,11002,,,0.84,48517,234375,,4.04
Italy,2006,66497,1.14,7030,0.12,158641,2.73,198229,3.41,0.81,47371,,,1120,19.26,1283,22.07,10300,0.18,0.89,15608,27.87,,,6.04,351008,6.1,354828,7675,0.13,0.19,10914,,,0.85,49146,232168,,3.99
Italy,2007,64542,1.1,7813,0.13,155931,2.67,192525,3.29,0.92,53627,672,11.5,1134,19.41,1271,21.75,10980,0.19,0.94,15947,28.28,33,0.56,6.07,354471,6.23,364174,6861,0.12,0.19,11049,566,9.69,0.87,50805,228286,,3.91
Italy,2008,62918,1.07,7705,0.13,152392,2.59,187332,3.18,0.93,54638,669,11.37,1094,18.6,1259,21.4,11143,0.19,0.94,16489,28.59,33,0.56,6.19,364349,6.21,365280,6585,0.11,0.19,10967,557,9.47,0.88,51497,223015,,3.79
Italy,2009,61626,1.04,7860,0.13,148778,2.52,182285,3.08,0.94,55419,657,11.12,1081,18.29,1241,21,10986,0.19,0.92,16893,29.7,34,0.58,6.31,373037,6.22,367420,6382,0.11,0.18,10896,550,9.31,0.88,52252,218264,,3.69
Italy,2010,60387,1.02,7813,0.13,147780,2.49,179773,3.03,0.95,56492,651,10.98,1076,18.15,1230,20.75,11164,0.19,0.92,17230,30.66,34,0.57,6.32,374906,6.27,371450,6089,0.1,0.18,10879,545,9.19,0.9,53284,215980,,3.64
Italy,2011,58385,0.98,7582,0.13,142887,2.41,173770,2.93,0.97,57764,642,10.81,1024,17.25,1184,19.94,10498,0.18,0.86,17819,32.6,34,0.57,6.63,393628,6.4,379930,6086,0.1,0.19,10987,508,8.56,0.93,54969,208854,,3.52
Italy,2012,56289,0.95,7967,0.13,139467,2.34,169384,2.84,0.98,58076,629,10.56,1002,16.83,1156,19.42,10105,0.17,0.82,18104,33.89,36,0.6,6.78,403696,6.38,380074,5682,0.1,0.18,10598,491,8.25,0.93,55128,203723,,3.42
Italy,2013,56271,0.93,7597,0.13,135606,2.25,165384,2.75,0.98,58748,627,10.41,980,16.27,1135,18.84,9584,0.16,0.76,18708,36.37,35,0.58,6.88,414299,6.37,383950,5734,0.1,0.18,10900,473,7.85,0.94,56898,199474,,3.31
Italy,2014,55956,0.92,7453,0.12,131780,2.17,161349,2.65,0.98,59414,625,10.28,957,15.74,1121,18.44,9280,0.15,0.71,19225,38.25,35,0.58,6.89,419086,6.33,384861,5642,0.09,0.18,10956,461,7.58,0.95,57461,195189,,3.21
Italy,2015,55325,0.91,7527,0.12,131213,2.16,160085,2.64,0.98,59758,624,10.27,949,15.63,1115,18.36,9144,0.15,0.69,19634,40.42,34,0.56,7.05,428401,6.39,388177,5671,0.09,0.18,10815,457,7.53,0.94,57214,194065,,3.2
Italy,2016,55827,0.92,7406,0.12,129082,2.13,158874,2.62,0.99,60190,608,10.03,928,15.31,1090,17.98,8717,0.14,0.65,20039,42.33,33,0.54,7.15,433283,6.46,391883,5545,0.09,0.17,10519,449,7.41,0.99,59830,192315,,3.17
Italy,2017,56425,0.93,7640,0.13,128483,2.12,158891,2.62,1.02,61471,600,9.91,898,14.83,1063,17.56,8526,0.14,0.63,20311,44.33,32,0.53,7.35,444968,6.55,396316,5562,0.09,0.17,10532,431,7.12,1,60467,192548,,3.18
Italy,2018,,,,,,,,,,,,,,,,,,,,20618,,,,7.44,449781,,,,,0.17,10322,,,0.99,60082,,,
Japan,2005,,,,,482015,3.77,1060266,8.3,,,,,7952,62.24,9026,70.64,383911,3,14.9,,,,,,,,,354296,2.77,,,1656,12.96,,,1798473,0.43,14.08
Japan,2006,,,,,476825,3.73,1062236,8.31,,,,,7870,61.53,8943,69.92,371814,2.91,13.96,,,,,,,,,352437,2.76,0.1,12829,1643,12.85,,,1786487,0.45,13.97
Japan,2007,,,,,466640,3.64,1061735,8.29,,,,,7785,60.8,8862,69.22,362393,2.83,13.17,,,,,,,,,351188,2.74,,,1616,12.62,,,1775316,0.46,13.87
Japan,2008,,,,,468731,3.66,1049773,8.2,,,,,7714,60.23,8794,68.66,356877,2.79,12.61,,,,,,,,,349321,2.73,0.11,13534,1596,12.46,,,1755971,0.47,13.71
Japan,2009,,,,,462646,3.61,1042423,8.14,,,,,7655,59.79,8739,68.26,352749,2.76,12.11,,,,,,,,,348121,2.72,,,1571,12.27,,,1743293,0.49,13.62
Japan,2010,,,,,457086,3.57,1035436,8.09,,,,,7587,59.25,8670,67.7,348064,2.72,11.81,,,,,,,,,346715,2.71,0.11,14201,1552,12.12,,,1730215,0.5,13.51
Japan,2011,,,,,451044,3.53,1024075,8.01,,,,,7528,58.89,8605,67.31,344317,2.69,11.57,,,,,,,,,344047,2.69,,,1532,11.98,,,1712439,0.52,13.4
Japan,2012,,,,,448454,3.51,1019463,7.99,,,,,7493,58.73,8565,67.13,342196,2.68,11.11,,,,,,,,,342194,2.68,0.12,14733,1526,11.96,,,1703853,0.53,13.35
Japan,2013,,,,,444894,3.49,1014666,7.96,,,,,7474,58.66,8540,67.03,340668,2.67,10.67,,,,,,,,,339780,2.67,,,1515,11.89,,,1695114,0.54,13.3
Japan,2014,,,,,457542,3.6,1002897,7.88,,,,,7426,58.36,8493,66.75,339554,2.67,10.28,,,,,,,,,338174,2.66,0.12,15187,1560,12.26,,,1680625,0.55,13.21
Japan,2015,,,,,455658,3.59,998249,7.85,,,,,7416,58.35,8480,66.72,339063,2.67,10.01,,,,,,,,,336282,2.65,,,1556,12.24,,,1673594,0.56,13.17
Japan,2016,,,,,451807,3.56,992131,7.82,,,,,7380,58.14,8442,66.51,338067,2.66,9.77,,,,,,,,,334258,2.63,0.12,15609,1540,12.13,,,1664456,0.58,13.11
Japan,2017,,,,,449713,3.55,987237,7.79,,,,,7353,58.03,8412,66.39,334297,2.64,9.51,,,,,,,,,331700,2.62,,,1538,12.14,,,1653234,0.57,13.05
Korea,2005,,,,,,,256210,5.32,0.45,21581,,,1084,22.5,1636,33.95,25501,0.53,5.9,8657,19.76,,,,,2.09,100640,36252,0.75,0.04,1986,,,0.37,17621,284084,,5.9
Korea,2006,,,,,,,268373,5.54,0.46,22267,,,1145,23.64,1895,39.12,43336,0.89,9.58,8572,19.13,,,11.81,572141,2.15,104132,37429,0.77,0.04,2086,,,0.38,18522,314082,,6.48
Korea,2007,,,,,,,283440,5.82,0.48,23126,,,1247,25.61,2240,46.01,66727,1.37,14.02,8587,17.41,,,12.54,610566,2.22,108207,36714,0.75,0.05,2195,,,0.4,19298,352540,,7.24
Korea,2008,0,0,325154,6.63,53920,1.1,299749,6.11,0.49,23924,,,1377,28.07,2512,51.21,76970,1.57,15.43,8565,18.38,,,13.22,648299,2.3,112629,39559,0.81,0.05,2381,,,0.42,20484,379074,,7.73
Korea,2009,,,,,,,312084,6.33,0.5,24639,,,1441,29.22,2666,54.07,89503,1.82,17.29,8603,19.34,,,14.01,691001,2.37,116835,41710,0.85,0.05,2483,,,0.44,21473,403932,,8.19
Korea,2010,0,0,376464,7.6,56412,1.14,317731,6.41,0.51,25390,0,0,1466,29.58,2809,56.69,112827,2.28,21.03,8578,18.24,2622,52.91,14.91,738722,2.43,120575,44281,0.89,0.05,2616,187,3.77,0.45,22447,432876,,8.74
Korea,2011,0,0,416548,8.34,59196,1.19,338132,6.77,0.52,26098,0,0,1564,31.32,3064,61.36,135294,2.71,24.53,8562,18.17,2873,57.53,15.74,785989,2.49,124309,43885,0.88,0.07,3307,191,3.82,0.55,27579,475744,,9.53
Korea,2012,0,0,454682,9.06,60005,1.2,351647,7,0.53,26804,0,0,1650,32.87,3298,65.7,161054,3.21,27.93,8528,17.6,3098,61.71,16.54,830424,2.55,127963,45513,0.91,0.07,3409,200,3.98,0.57,28556,514687,,10.25
Korea,2013,0,0,490893,9.73,59650,1.18,356056,7.06,0.54,27409,0,0,1655,32.82,3450,68.41,192659,3.82,31.99,8422,19.3,3249,64.43,17.4,877474,2.6,130918,45875,0.91,0.07,3534,201,3.99,0.59,29938,550543,,10.92
Korea,2014,0,0,525050,10.35,62943,1.24,369958,7.29,0.55,28134,0,0,1757,34.62,3672,72.36,213986,4.22,34.09,8382,19.25,3461,68.2,18.23,924982,2.65,134550,59714,1.18,0.07,3650,211,4.16,0.61,30719,587993,,11.59
Korea,2015,0,0,530612,10.4,61650,1.21,358236,7.02,0.57,28953,0,0,1829,35.85,3678,72.1,229846,4.51,35.14,8387,19.13,3466,67.94,19.13,976142,2.73,139290,63585,1.25,0.07,3716,212,4.16,0.62,31477,592262,,11.61
Korea,2016,0,0,550977,10.75,62991,1.23,363686,7.1,0.58,29643,0,0,1851,36.12,3788,73.92,246373,4.81,36.43,8328,20.5,3568,69.63,19.69,1008778,2.78,142677,64137,1.25,0.07,3794,220,4.29,0.63,32418,613968,,11.98
Korea,2017,0,0,566707,11.02,64385,1.25,367364,7.14,0.59,30344,0,0,1808,35.14,3887,75.55,259730,5.05,36.71,8297,23.19,3666,71.26,20.53,1056266,2.84,146265,67298,1.31,0.08,3928,221,4.3,0.64,33149,631092,,12.27
Latvia,2005,912,0.41,0,0,16784,7.5,12070,5.39,0.83,1857,,,74,33.05,109,48.69,1304,0.58,3.48,806,36.84,,,8.19,18328,4.28,9593,3567,1.59,0.13,281,,,0.65,1462,17696,,7.9
Latvia,2006,923,0.42,0,0,16484,7.43,11832,5.33,0.86,1910,,,74,33.36,106,47.78,1239,0.56,3.27,784,34.28,,,8.14,18053,4.43,9836,3531,1.59,0.13,283,,,0.67,1479,17407,,7.85
Latvia,2007,1078,0.49,0,0,16155,7.34,11674,5.31,0.87,1922,,,70,31.81,94,42.72,1181,0.54,3.07,781,32.6,,,8.17,17977,4.56,10044,3510,1.6,0.15,339,,,0.69,1516,17233,,7.83
Latvia,2008,1054,0.48,0,0,15853,7.28,11489,5.28,0.9,1963,,,65,29.85,88,40.42,1041,0.48,2.7,796,32.62,,,8.39,18276,4.7,10234,3506,1.61,0.16,347,,,0.71,1549,16907,,7.77
Latvia,2009,862,0.4,0,0,13572,6.34,9640,4.5,0.93,2002,17,7.94,42,19.61,69,32.22,1040,0.49,2.7,807,36.62,0,0,8.61,18435,4.84,10358,3028,1.41,0.16,332,52,24.28,0.71,1520,14434,,6.74
Latvia,2010,766,0.37,0,0,11154,5.32,7433,3.54,0.98,2047,19,9.06,42,20.02,67,31.94,1350,0.64,3.51,820,41.46,0,0,8.87,18598,5,10495,2675,1.28,0.16,328,48,22.88,0.68,1421,11920,,5.68
Latvia,2011,1050,0.51,0,0,11061,5.37,7369,3.58,1.01,2088,21,10.2,32,15.54,70,33.99,1380,0.67,3.62,822,43.65,0,0,9.04,18621,5.18,10674,2657,1.29,0.16,329,49,23.79,0.69,1422,12111,,5.88
Latvia,2012,1060,0.52,0,0,10912,5.36,7242,3.56,1.05,2126,19,9.34,32,15.73,66,32.44,1352,0.66,3.56,825,41.46,0,0,9.03,18375,5.34,10859,2615,1.29,0.16,324,47,23.1,0.69,1400,11972,,5.89
Latvia,2013,1076,0.53,0,0,10597,5.27,7053,3.5,1.08,2174,19,9.44,32,15.9,65,32.3,1289,0.64,3.39,859,41.7,0,0,9.18,18470,5.5,11069,2524,1.25,0.16,321,46,22.86,0.7,1412,11673,,5.8
Latvia,2014,1109,0.56,0,0,10170,5.1,6748,3.38,1.1,2202,19,9.53,30,15.05,64,32.1,1209,0.61,3.17,876,40.28,0,0,9.31,18563,5.66,11282,2513,1.26,0.16,311,45,22.57,0.71,1410,11279,,5.66
Latvia,2015,1120,0.57,0,0,10141,5.13,6700,3.39,1.13,2229,21,10.62,29,14.66,67,33.88,1272,0.64,3.3,889,40.45,0,0,9.46,18705,5.82,11513,2496,1.26,0.16,314,46,23.26,0.7,1380,11261,,5.69
Latvia,2016,1119,0.57,0,0,10089,5.15,6681,3.41,1.15,2247,20,10.21,29,14.8,65,33.17,1249,0.64,3.23,895,40.74,0,0,9.58,18776,5.98,11710,2500,1.28,0.16,304,45,22.96,0.69,1356,11208,,5.72
Latvia,2017,1094,0.56,0,0,9718,5,6407,3.3,1.18,2301,18,9.27,27,13.9,63,32.44,1222,0.63,3.15,901,43.25,0,0,9.72,18882,6.18,11994,2430,1.25,0.15,285,45,23.17,0.7,1365,10812,,5.57
Latvia,2018,,,,,,,,,,,,,,,,,,,,,,,,9.8,18950,,,,,,,,,,,,,
Lithuania,2005,100,0.03,0,0,24100,7.25,20848,6.27,,,12,3.61,83,24.98,113,34.01,2002,0.6,3.77,1305,44.22,0,0,8.86,29432,4.26,14138,3530,1.06,0.18,588,101,30.4,0.7,2317,24200,0.69,7.28
Lithuania,2006,101,0.03,0,0,23278,7.12,20082,6.14,,,14,4.28,85,25.99,115,35.17,1983,0.61,3.7,1325,44.75,0,0,9.22,30146,4.47,14603,3474,1.06,0.18,588,101,30.89,0.72,2354,23379,0.71,7.15
Lithuania,2007,80,0.02,0,0,23153,7.17,19946,6.17,,,8,2.48,80,24.76,109,33.73,1965,0.61,3.63,,,0,0,,,,,3453,1.07,0.18,583,101,31.26,0.72,2340,23233,0.72,7.19
Lithuania,2008,92,0.03,0,0,22866,7.15,19701,6.16,,,12,3.75,83,25.95,113,35.33,1955,0.61,3.58,,,0,0,,,,,3453,1.08,0.18,563,101,31.58,0.74,2380,22958,0.74,7.18
Lithuania,2009,104,0.03,0,0,22615,7.15,19477,6.16,,,13,4.11,84,26.56,114,36.04,1910,0.6,3.49,,,0,0,,,,,3409,1.08,0.17,552,101,31.93,0.75,2366,22719,0.72,7.18
Lithuania,2010,175,0.06,0,0,22015,7.11,18992,6.13,,,13,4.2,83,26.8,113,36.48,1808,0.58,3.32,,,0,0,,,,,3303,1.07,0.18,554,100,32.29,0.76,2356,22190,0.72,7.16
Lithuania,2011,110,0.04,0,0,22401,7.4,18936,6.25,1.09,3298,7,2.31,76,25.1,105,34.68,1881,0.62,3.45,1048,34.62,0,0,8.94,27060,4.49,13601,3368,1.11,0.21,648,98,32.36,0.96,2894,22511,0.71,7.43
Lithuania,2012,220,0.07,0,0,21986,7.36,18720,6.27,1.15,3447,9,3.01,76,25.44,105,35.14,1769,0.59,3.26,1079,35.42,0,0,9.26,27672,4.74,14153,3306,1.11,0.22,646,96,32.13,1,2984,22206,0.73,7.43
Lithuania,2013,241,0.08,0,0,21297,7.2,18309,6.19,1.22,3609,10,3.38,76,25.7,99,33.47,1594,0.54,2.94,1114,37.27,0,0,9.56,28272,4.95,14639,3248,1.1,0.22,645,89,30.09,1.02,3014,21538,0.74,7.28
Lithuania,2014,131,0.04,0,0,21045,7.18,17879,6.1,1.22,3566,6,2.05,73,24.89,94,32.06,1597,0.54,2.94,1145,37.7,0,0,9.68,28384,4.87,14281,3164,1.08,0.22,646,88,30.01,1.03,3023,21176,0.74,7.22
Lithuania,2015,179,0.06,0,0,20057,6.9,17029,5.86,1.26,3669,7,2.41,73,25.13,95,32.7,1553,0.53,2.84,1176,37.36,0,0,9.85,28599,4.91,14270,2986,1.03,0.22,653,88,30.29,1.04,3011,20236,0.77,6.97
Lithuania,2016,161,0.06,0,0,19032,6.64,16040,5.59,1.32,3785,8,2.79,73,25.45,93,32.42,1499,0.52,2.73,1205,39.35,0,0,9.67,27744,4.99,14320,2888,1.01,0.23,651,85,29.63,1.07,3065,19193,0.82,6.69
Lithuania,2017,154,0.05,0,0,18394,6.5,15477,5.47,1.36,3857,8,2.83,73,25.81,93,32.88,1403,0.5,2.55,1165,40.59,0,0,9.51,26911,5.15,14578,2804,0.99,0.24,671,85,30.05,1.07,3037,18548,0.83,6.56
Lithuania,2018,,,,,,,,,1.39,3909,,,,,,,,,,1124,,,,9.28,26078,5.28,14836,,,,,,,,,,,
Luxembourg,2005,,,,,,,2112,4.54,0.94,437,0,0,6,12.9,14,30.1,0,0,0,272,50.65,0,0,,,3.21,1494,452,0.97,0.16,73,14,30.1,0.57,265,2691,,5.79
Luxembourg,2006,,,,,,,2112,4.47,0.92,435,0,0,6,12.69,14,29.62,0,0,0,283,51.36,0,0,,,3.28,1550,432,0.91,0.16,77,14,29.62,0.58,272,2671,,5.65
Luxembourg,2007,,,,,,,2112,4.4,1.07,513,0,0,5,10.42,13,27.08,0,0,0,300,54.74,0,0,19.98,9592,3.72,1785,432,0.9,0.18,84,13,27.08,0.58,278,2721,,5.67
Luxembourg,2008,,,,,,,2112,4.32,1.1,539,2,4.09,5,10.23,13,26.6,0,0,0,316,56.43,4,8.19,20.85,10190,3.9,1905,432,0.88,0.18,89,7,14.33,0.6,291,2721,,5.57
Luxembourg,2009,,,,,,,2098,4.21,1.14,569,2,4.02,5,10.04,13,26.12,0,0,0,310,54.96,4,8.04,20.37,10140,4.09,2034,446,0.9,0.18,90,7,14.06,0.59,296,2721,,5.47
Luxembourg,2010,,,,,,,2098,4.14,1.21,613,2,3.95,5,9.86,12,23.67,0,0,0,311,52.98,4,7.89,21,10648,4.24,2149,446,0.88,0.2,100,6,11.84,0.61,309,2721,,5.37
Luxembourg,2011,,,,,,,2105,4.06,1.17,609,2,3.86,5,9.65,13,25.08,0,0,0,324,57.45,5,9.65,21.37,11079,4.02,2086,454,0.88,0.2,104,6,11.58,0.61,314,2736,,5.28
Luxembourg,2012,,,,,,,2101,3.96,1.09,578,2,3.77,5,9.42,13,24.48,0,0,0,342,56.72,5,9.42,22.33,11858,3.82,2027,458,0.86,0.21,109,6,11.3,0.62,328,2736,,5.15
Luxembourg,2013,,,,,,,2296,4.23,1.1,599,2,3.68,5,9.2,13,23.93,0,0,0,356,58.17,5,9.2,22.82,12399,3.88,2108,452,0.83,0.21,113,6,11.04,0.61,330,2810,,5.17
Luxembourg,2014,,,,,,,2297,4.13,1.1,610,1,1.8,5,8.99,12,21.57,0,0,0,375,61.78,6,10.79,23.67,13169,4.05,2253,452,0.81,0.22,124,5,8.99,0.63,352,2811,,5.05
Luxembourg,2015,,,,,,,2296,4.03,1.19,677,1,1.76,5,8.78,12,21.07,0,0,0,396,64.71,6,10.53,23.86,13589,4.37,2487,452,0.79,0.22,128,5,8.78,0.64,364,2810,,4.93
Luxembourg,2016,,,,,,,2275,3.9,1.2,700,1,1.71,5,8.57,12,20.57,0,0,0,414,68.43,6,10.28,23.72,13841,4.09,2386,452,0.77,0.22,129,5,8.57,0.64,376,2804,,4.81
Luxembourg,2017,,,,,,,2251,3.77,1.23,736,,,4,6.71,10,16.77,0,0,0,441,71.47,,,24.27,14471,4.19,2497,451,0.76,0.21,128,,,0.68,406,2780,,4.66
Luxembourg,2018,,,,,,,2251,3.7,,,,,4,6.58,10,16.45,0,0,0,,,,,,,,,451,0.74,,,,,,,2740,,4.51
Mexico,2005,41992,0.39,,,139583,1.3,181575,1.69,,,3172,29.6,,,4243,39.6,,,,,,,,,,,,4588,0.04,0.01,606,1071,10,0.12,12585,181575,,1.69
Mexico,2006,41737,0.38,,,134515,1.24,176252,1.63,,,3131,28.88,,,4245,39.16,,,,,,,,,,,,4853,0.04,0.01,626,1114,10.28,0.13,14353,176252,,1.63
Mexico,2007,42638,0.39,,,137945,1.26,180583,1.64,,,3141,28.61,,,4344,39.57,,,,,,11,0.1,,,,,4615,0.04,0.01,895,1192,10.86,0.13,14049,180583,,1.64
Mexico,2008,43104,0.39,,,137849,1.24,180953,1.63,,,3111,27.95,,,4379,39.34,,,,,,17,0.15,,,,,4613,0.04,0.01,946,1251,11.24,0.13,14528,180953,,1.63
Mexico,2009,43112,0.38,,,136228,1.21,179340,1.59,,,3108,27.54,,,4406,39.04,,,,,,19,0.17,,,,,4660,0.04,0.01,998,1279,11.33,0.13,15045,179340,,1.59
Mexico,2010,43773,0.38,,,138234,1.21,182007,1.59,,,3144,27.51,,,4456,38.99,,,,,,16,0.14,,,,,4620,0.04,0.01,1157,1296,11.34,0.14,15582,182007,,1.59
Mexico,2011,44115,0.38,,,119454,1.03,163569,1.41,,,3088,26.71,,,4430,38.32,,,,,,18,0.16,,,,,4292,0.04,0.01,1283,1324,11.45,0.15,17134,163569,,1.41
Mexico,2012,43858,0.38,,,121015,1.04,164873,1.41,,,3064,26.21,,,4421,37.82,,,,,,18,0.15,,,,,4230,0.04,0.01,1236,1339,11.45,0.15,17289,164873,,1.41
