Entity,Year,"Estimated average age at marriage, men (UN)","Estimated average age at marriage, women (UN)"
United Kingdom,2010,33.299999,32
United States,1970,23.5,
United States,1995,,23.299999
United States,2002,,23.700001
United States,2006,,23.700001
United States,2010,29.200001,
United States Virgin Islands,1990,30.1,27.5
United States Virgin Islands,2010,32.5,30.9
Uruguay,1975,25.4,22.5
Uruguay,1985,25.200001,22.9
Uruguay,1996,25.6,23.299999
Uruguay,2011,26.5,24
Uzbekistan,1996,,20.6
Uzbekistan,2000,24.1,21.6
Uzbekistan,2002,24,21.5
Uzbekistan,2006,,22.5
Vanuatu,1979,25.799999,22
Vanuatu,1989,25.299999,22.6
Vanuatu,1999,25.299999,23
Vanuatu,2009,25.5,22.5
Venezuela,1971,25.6,20.1
Venezuela,1981,25,21.299999
Venezuela,1990,25.4,22.1
Venezuela,2001,26,22.700001
Venezuela,2011,25.799999,22.9
Vietnam,1988,,23.6
Vietnam,1997,26.1,22.200001
Vietnam,2000,26,22.9
Vietnam,2002,26.1,23.200001
Vietnam,2005,25.9,23.200001
Vietnam,2006,,22.799999
Vietnam,2007,26.6,23.299999
Vietnam,2010,,22.299999
Vietnam,2011,26.4,22.799999
Vietnam,2013,,22.4
Vietnam,2015,26.9,22.799999
Wallis and Futuna,1976,27,25.1
Wallis and Futuna,1983,26.200001,22.9
Wallis and Futuna,1990,28.5,23.4
Wallis and Futuna,1996,28.4,24.299999
Wallis and Futuna,2003,28.4,26.200001
Wallis and Futuna,2013,28.799999,27.799999
Western Sahara,1970,25.299999,18
Yemen,1991,24.700001,20.799999
Yemen,1997,,20.700001
Yemen,2003,25.4,22.200001
Yemen,2006,25.299999,22.6
Yemen,2013,26.1,22.799999
Zambia,1992,,20
Zambia,1996,25,20.299999
Zambia,1999,26.6,22
Zambia,2001,24.799999,20.5
Zambia,2007,25.4,21.1
Zambia,2013,25.9,21.799999
Zimbabwe,1987,26.4,21.5
Zimbabwe,1988,,20.700001
Zimbabwe,1994,25.5,21
Zimbabwe,1997,26,21.5
Zimbabwe,1999,25.700001,21
Zimbabwe,2005,25.9,20.799999
Zimbabwe,2009,26,20.9
Zimbabwe,2010,25.5,20.6
Zimbabwe,2014,,20.299999
Zimbabwe,2015,25.700001,20.200001
Zimbabwe,2017,26,21.1
