Entity,Year,Total wealth per capita,Produced capital,"Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, male","Human capital, female",Net foreign assets,Adjusted net national income,Adjusted net saving,GDP,Gross national income,"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Land (crop, pasture)"
Germany,2005,531389.17,188676.98,5650.13,299.04,1534.81,825.52,1257.62,1733.13,487.56,486.81,91.51,110.13,285.18,0.75,332153.08,221732.36,110420.71,4421.42,34833.58,4063.90,41598.65,41968.20,6137.69,2990.75
Germany,2010,641262.44,216137.34,6329.83,370.71,1551.21,1112.62,1504.75,1790.54,953.76,943.72,136.32,88.18,719.21,10.04,408266.96,274150.81,134116.14,9574.55,37507.81,5134.74,44604.91,45483.75,7283.59,3295.28
Germany,2014,729063.65,236890.67,6962.28,361.77,1567.53,1238.28,1697.78,2096.92,738.29,725.14,137.00,58.68,529.45,13.16,467668.10,317766.19,149901.92,16804.31,40416.39,6414.62,47902.70,48967.74,7700.57,3794.70
Ghana,1995,18293.98,5062.09,7301.85,509.96,158.56,1051.69,2964.52,2617.12,108.27,0.00,0.00,0.00,0.00,108.27,6345.49,3388.22,2957.27,-523.72,651.77,35.75,764.92,749.17,7410.12,5581.64
Ghana,2000,16514.09,3600.29,7284.11,425.44,143.45,525.60,4911.12,1278.51,36.23,0.00,0.00,0.00,0.00,36.23,6796.36,3610.20,3186.16,-1202.90,714.90,34.71,841.40,816.59,7320.34,6189.63
Ghana,2005,20292.72,5028.95,7890.21,212.45,128.29,404.99,6162.90,981.58,189.54,4.88,4.88,0.00,0.00,184.66,7776.83,4066.05,3710.77,-592.80,767.21,48.16,946.81,935.25,8079.75,7144.48
Ghana,2010,18991.52,2890.23,5154.53,115.48,114.61,338.65,3765.00,820.80,605.99,7.01,7.01,0.00,0.00,598.98,10922.22,4748.38,6173.85,-581.46,863.42,-56.70,1141.71,1122.77,5760.52,4585.80
Ghana,2014,25044.20,3767.95,6745.03,121.82,105.33,495.74,4820.58,1201.55,1673.07,731.81,731.81,0.00,0.00,941.26,13852.92,6048.26,7804.65,-994.77,903.14,-159.33,1441.64,1377.52,8418.10,6022.13
Greece,1995,264239.39,115796.32,15210.27,97.63,1879.71,1060.07,9608.67,2564.20,258.33,159.08,48.26,11.91,98.91,99.25,135185.54,83552.96,51632.57,-2211.07,17146.85,2142.03,19196.38,19703.64,15468.60,12172.87
Greece,2000,290159.60,129063.95,13478.13,71.46,1917.74,1484.58,7766.48,2237.88,89.75,55.62,13.48,1.97,40.17,34.13,155885.14,96790.32,59094.82,-8357.37,19618.79,1427.05,22441.73,22595.56,13567.88,10004.35
Greece,2005,316304.85,137668.37,12762.09,58.50,1965.15,1733.90,6797.74,2206.81,553.93,420.55,19.25,5.29,396.01,133.38,184498.18,114706.61,69791.57,-19177.72,22861.48,869.73,26706.33,26748.48,13316.02,9004.55
Greece,2010,305996.76,140305.76,10806.33,54.27,2019.60,1795.52,4968.57,1968.37,1655.96,908.10,20.72,3.93,883.45,747.86,178984.22,104894.42,74089.80,-25755.50,21035.08,-2352.23,25953.54,25421.95,12462.29,6936.94
Greece,2014,227925.22,134895.04,11129.13,58.73,2125.87,2009.35,4945.28,1989.91,1417.03,654.30,46.10,1.83,606.37,762.73,105662.82,66924.87,38737.96,-25178.80,17734.72,-1473.41,21673.80,21721.45,12546.16,6935.19
Guatemala,1995,33396.48,5107.26,7709.27,296.04,1495.72,1456.10,3185.71,1275.71,121.13,121.13,121.13,0.00,0.00,0.00,20875.26,12133.42,8741.84,-416.44,2580.73,2.09,2902.64,2871.07,7830.40,4461.42
Guatemala,2000,35027.95,6241.48,6329.57,194.29,1245.45,1119.32,2885.32,885.20,278.09,277.72,277.72,0.00,0.00,0.37,22710.54,13108.98,9601.57,-531.74,2706.84,-13.13,3122.06,3085.54,6607.66,3770.51
Guatemala,2005,39871.29,9423.09,5576.42,144.35,1033.38,1112.45,2491.33,794.93,529.16,507.40,507.40,0.00,0.00,21.76,24700.51,14450.29,10250.22,-357.89,2823.97,169.09,3213.14,3155.89,6105.58,3286.25
Guatemala,2010,41429.67,9927.09,7545.89,163.03,874.02,1841.29,3675.96,991.60,431.98,267.33,267.33,0.00,0.00,164.64,24015.83,13747.52,10268.31,-491.12,2878.57,13.68,3440.20,3339.40,7977.87,4667.56
Guatemala,2014,43139.98,9554.89,8259.14,201.09,772.54,1956.08,4295.80,1033.64,738.04,224.16,224.16,0.00,0.00,513.88,25450.16,14735.75,10714.41,-862.25,3066.55,-33.22,3666.58,3569.62,8997.18,5329.44
Guinea,1995,4589.44,963.58,2286.59,110.45,232.27,75.82,1397.37,470.68,1065.21,0.00,,,0.00,1065.21,652.51,631.53,20.98,-378.44,408.97,27.29,484.17,473.60,3351.80,1868.05
Guinea,2000,4866.61,1423.24,2649.46,136.85,202.28,83.76,1722.76,503.80,638.58,0.00,,,0.00,638.58,626.68,606.57,20.11,-471.35,447.92,15.15,524.29,511.49,3288.04,2226.56
Guinea,2005,6203.52,1328.79,3858.80,200.70,179.28,292.71,2341.04,845.07,844.02,0.00,,,0.00,844.02,697.59,675.30,22.29,-525.68,409.21,-45.09,555.09,502.34,4702.82,3186.11
Guinea,2010,7881.33,898.80,5625.24,253.80,153.20,709.17,3162.08,1347.00,1036.79,0.00,,,0.00,1036.79,688.12,666.13,21.98,-367.62,340.81,-185.15,542.23,492.57,6662.03,4509.08
Guinea,2014,8942.75,1307.37,6271.86,237.75,134.41,962.49,3501.86,1435.35,1022.39,0.00,,,0.00,1022.39,620.55,600.74,19.81,-279.42,367.42,,539.62,499.70,7294.25,4937.21
Guyana,1995,56312.86,10645.89,33604.48,9822.23,13237.19,578.18,6981.15,2985.73,4144.07,0.00,,,0.00,4144.07,15727.38,11582.74,4144.65,-7808.97,2137.27,504.05,2391.87,2182.56,37748.55,9966.88
Guyana,2000,58879.25,10797.30,33662.97,8814.87,12945.55,901.49,8318.75,2682.31,3198.45,0.00,,,0.00,3198.45,17017.96,12692.82,4325.14,-5797.43,2409.34,210.77,2678.88,2483.00,36861.42,11001.06
Guyana,2005,54937.62,10719.55,31531.14,6821.81,12925.15,1773.83,7521.64,2488.71,2424.31,0.00,,,0.00,2424.31,15335.91,11337.41,3998.50,-5073.29,2517.51,131.87,2773.96,2611.89,33955.45,10010.35
Guyana,2010,60436.71,11707.50,29503.50,7681.71,12718.76,1829.14,5594.89,1679.00,3781.19,0.00,,,0.00,3781.19,17816.39,13447.08,4369.31,-2371.87,3022.61,151.16,3382.51,3401.64,33284.69,7273.90
Guyana,2014,69650.36,12032.92,32762.27,9506.26,12513.15,2302.14,6785.40,1655.32,6857.42,0.00,,,0.00,6857.42,21801.00,16432.13,5368.87,-3803.25,3539.99,-171.33,4028.16,3987.72,39619.69,8440.72
Haiti,1995,11076.54,3710.51,2339.05,9.11,44.93,9.54,1737.06,538.40,0.00,0.00,0.00,0.00,0.00,0.00,5199.54,3556.23,1643.30,-172.56,,,658.26,,2339.05,2275.47
Haiti,2000,12777.51,3756.22,2172.94,9.65,39.82,9.80,1569.14,544.53,0.00,0.00,0.00,0.00,0.00,0.00,7105.35,4880.15,2225.20,-257.00,862.01,197.52,875.21,878.07,2172.94,2113.68
Haiti,2005,11791.97,4442.99,2185.79,8.69,35.40,10.96,1467.09,663.64,0.00,0.00,0.00,0.00,0.00,0.00,5407.12,3846.08,1561.04,-243.93,750.70,172.99,785.93,779.27,2185.79,2130.73
Haiti,2010,11028.25,4908.30,2417.62,9.50,31.55,10.05,1807.92,558.60,0.00,0.00,0.00,0.00,0.00,0.00,3609.21,2256.48,1352.73,93.12,713.77,131.59,755.78,758.32,2417.62,2366.51
Haiti,2014,15040.42,5988.58,3018.01,13.52,28.89,9.61,2431.82,534.16,0.00,0.00,0.00,0.00,0.00,0.00,6134.69,4162.15,1972.53,-100.86,780.36,122.42,831.59,832.75,3018.01,2965.99
Honduras,1995,33872.34,6940.61,14833.87,1211.65,3284.80,3134.12,3122.98,4080.31,62.04,0.00,0.00,0.00,0.00,62.04,14235.97,9210.84,5025.13,-2200.15,1503.28,364.56,1738.67,1621.97,14895.91,7203.30
Honduras,2000,36108.21,6152.70,14598.67,766.19,2588.64,4993.06,2960.46,3290.32,55.87,0.00,0.00,0.00,0.00,55.87,16482.45,9071.48,7410.97,-1181.49,1644.84,292.17,1808.14,1752.10,14654.54,6250.78
Honduras,2005,38739.18,6791.23,10076.33,392.69,2128.45,3169.35,2150.16,2235.69,78.64,0.00,0.00,0.00,0.00,78.64,22792.54,10475.74,12316.80,-999.56,1833.02,412.92,2059.62,1963.15,10154.97,4385.85
Honduras,2010,45038.75,7970.42,10732.26,420.65,1749.37,3253.64,2935.59,2373.00,318.59,0.00,0.00,0.00,0.00,318.59,26914.23,11819.01,15095.22,-896.75,1977.99,306.36,2254.34,2150.60,11050.85,5308.60
Honduras,2014,44778.34,8427.21,10375.82,485.59,1496.35,2875.22,3423.87,2094.78,222.97,0.00,0.00,0.00,0.00,222.97,27372.00,13974.60,13397.41,-1619.66,2106.52,293.00,2434.28,2268.17,10598.79,5518.66
Hungary,1995,107195.41,42045.90,5728.61,538.61,731.28,409.17,2947.28,1102.27,727.93,608.24,164.97,355.82,87.45,119.70,63672.05,32258.47,31413.58,-4979.08,6911.32,304.68,8961.21,8690.94,6456.54,4049.55
Hungary,2000,116747.40,47532.16,5152.43,386.28,762.81,470.93,2670.72,861.69,473.63,448.28,169.63,254.77,23.88,25.35,70955.61,36114.12,34841.49,-7366.43,7963.43,389.34,10496.18,9992.38,5626.06,3532.41
Hungary,2005,137337.24,55203.51,4835.05,321.36,798.76,622.54,2349.31,743.09,562.01,551.56,226.15,194.92,130.48,10.45,88009.19,44939.23,43069.96,-11272.51,10324.09,610.89,13113.08,12405.41,5397.06,3092.39
Hungary,2010,141808.87,62370.01,5339.73,338.99,831.31,974.44,2625.02,569.97,416.21,409.33,111.75,63.54,234.04,6.88,87893.12,47088.77,40804.35,-14210.20,10084.29,765.44,13095.81,12487.76,5755.94,3194.99
Hungary,2014,165518.86,65561.00,6209.16,414.49,850.14,1334.65,2997.57,612.31,413.44,411.35,149.42,91.68,170.24,2.10,102557.45,57056.12,45501.32,-9222.19,11075.39,1514.98,14118.02,13526.12,6622.60,3609.88
Iceland,1995,693999.41,168945.26,8386.18,0.00,112.34,700.46,120.91,7452.46,0.00,0.00,0.00,0.00,0.00,0.00,534873.85,313448.34,221425.51,-18205.88,29590.25,2893.15,35604.22,34561.46,8386.18,7573.38
Iceland,2000,815367.81,184103.26,5968.38,0.00,137.08,478.06,113.73,5239.51,0.00,0.00,0.00,0.00,0.00,0.00,659909.36,386500.02,273409.34,-34613.20,,,43193.49,41821.72,5968.38,5353.25
Iceland,2005,971269.57,217365.17,5221.89,0.00,164.64,1057.49,124.90,3874.86,0.00,0.00,0.00,0.00,0.00,0.00,790158.03,452298.33,337859.70,-41475.52,,,50379.56,48671.26,5221.89,3999.76
Iceland,2010,693875.01,280158.07,6288.86,0.00,179.70,1472.56,187.77,4448.84,0.00,0.00,0.00,0.00,0.00,0.00,723853.35,412148.15,311705.20,-316425.27,,,49170.09,41221.97,6288.86,4636.60
Iceland,2014,825857.21,270983.02,8979.92,3.95,195.83,3189.87,193.60,5396.67,0.00,0.00,0.00,0.00,0.00,0.00,733611.53,418090.00,315521.53,-187717.26,43195.24,6548.23,52475.13,52000.07,8979.92,5590.27
India,1995,8732.61,2059.47,2407.77,24.84,47.05,82.87,1450.10,802.92,211.69,176.83,71.56,3.42,101.85,34.87,4191.74,3475.94,715.80,-138.07,524.43,75.68,601.00,594.39,2619.46,2253.01
India,2000,9773.08,2340.23,2400.15,21.97,43.40,87.92,1392.23,854.63,216.94,181.74,87.24,5.75,88.75,35.20,4941.26,4132.18,809.08,-125.49,642.28,90.33,736.22,728.53,2617.09,2246.86
India,2005,11988.86,2973.35,2345.54,18.01,41.37,82.23,1278.88,925.05,430.74,343.57,136.12,17.71,189.74,87.18,6385.89,5461.17,924.72,-146.66,822.39,196.68,938.19,931.56,2776.28,2203.92
India,2010,15335.38,4189.44,3045.13,29.99,39.64,94.98,1791.79,1088.74,1025.64,664.80,186.03,27.10,451.68,360.84,7390.23,5950.11,1440.12,-315.06,1108.06,319.21,1286.09,1272.16,4070.77,2880.52
India,2014,18211.06,5161.34,3633.40,36.66,38.06,94.37,2035.63,1428.68,1105.41,748.18,219.73,41.06,487.39,357.23,8755.39,7057.96,1697.43,-444.48,1363.30,313.81,1569.94,1551.33,4738.81,3464.31
Indonesia,1995,33080.52,5815.18,5958.95,533.86,478.58,1122.34,3207.49,616.67,974.83,769.98,629.75,124.79,15.44,204.85,21666.48,15842.25,5824.24,-1334.93,1864.32,387.62,2097.67,2035.98,6933.78,3824.16
Indonesia,2000,25099.24,7537.74,5655.02,604.20,406.47,982.70,3216.82,444.83,1078.94,783.54,663.05,94.60,25.90,295.39,12416.73,8836.58,3580.15,-1589.19,1650.96,279.02,2025.45,1891.14,6733.96,3661.65
Indonesia,2005,29348.19,9191.81,4814.09,412.05,374.10,623.59,3133.79,270.57,1941.73,1401.52,848.13,218.00,335.39,540.21,14454.66,9749.15,4705.51,-1054.09,2001.73,341.25,2385.69,2269.60,6755.82,3404.36
Indonesia,2010,40706.20,13381.47,5315.29,413.31,338.06,661.33,3622.92,279.67,3156.87,2204.14,810.62,299.19,1094.33,952.73,20001.04,12606.23,7394.81,-1148.48,2607.86,717.49,2953.25,2874.62,8472.16,3902.59
Indonesia,2014,46918.68,15298.83,6320.89,375.48,311.69,1026.61,4181.60,425.51,3121.86,2164.89,711.95,321.82,1131.12,956.97,23701.11,14938.31,8762.80,-1524.01,3107.39,838.26,3499.59,3382.18,9442.75,4607.11
Iraq,1995,11653.19,1200.99,1946.82,3.04,42.66,3.61,1237.92,659.59,2860.06,2860.06,2824.27,35.79,0.00,0.00,5645.33,1858.23,3787.09,0.00,,,,,4806.88,1897.51
Iraq,2000,18032.64,1436.16,1602.49,3.96,36.90,3.13,986.87,571.63,10611.46,10611.46,10575.60,35.86,0.00,0.00,4382.53,1419.50,2963.02,0.00,,,,,12213.95,1558.50
Iraq,2005,50295.50,8018.87,2382.84,5.13,32.48,15.32,1490.26,839.65,38898.14,38898.14,38843.32,54.82,0.00,0.00,10194.22,3271.44,6922.78,-9198.58,3657.09,-179.32,4873.35,4945.52,41280.98,2329.91
Iraq,2010,91290.57,10134.33,2695.61,6.76,28.42,31.53,1613.02,1015.87,64477.32,64475.45,64384.65,90.80,0.00,1.87,13969.76,4436.22,9533.54,13.56,4550.68,97.85,5670.89,5736.02,67172.93,2628.89
Iraq,2014,101704.77,14510.39,3022.23,6.67,24.87,33.79,2138.04,818.86,68498.08,68488.95,68435.79,53.15,0.00,9.13,15473.22,4932.52,10540.70,200.85,4994.98,1618.83,6484.54,6453.35,71520.31,2956.91
Ireland,1995,428153.48,82220.21,24124.62,304.76,1149.80,726.51,2049.67,19893.88,140.75,140.75,0.00,140.73,0.02,0.00,332193.37,205378.75,126814.62,-10525.47,24477.60,,30666.62,28016.97,24265.37,21943.54
Ireland,2000,624893.88,133962.11,19766.73,325.60,1258.96,1059.89,1593.16,15529.12,209.18,203.38,0.00,203.38,0.00,5.80,474592.21,293925.73,180666.48,-3636.36,35043.17,,46340.03,40381.65,19975.91,17122.28
Ireland,2005,726766.67,195076.15,14333.78,244.43,1260.21,855.31,1244.94,10728.89,235.40,212.91,0.00,212.91,0.00,22.49,529557.32,326728.86,202828.46,-12435.97,40455.01,9962.00,55541.00,48153.81,14569.18,11973.83
Ireland,2010,626392.76,179667.23,13658.41,205.88,1200.56,1010.98,1121.48,10119.51,663.01,134.37,0.00,134.37,0.00,528.63,479463.13,296298.90,183164.23,-47059.02,35841.81,3841.46,51842.62,43736.13,14321.42,11241.00
Ireland,2014,627255.98,189308.74,15544.57,240.77,1222.82,1190.79,1272.08,11618.11,367.48,106.51,0.00,106.51,0.00,260.96,473655.57,294335.27,179320.30,-51620.37,38636.83,7386.48,55503.25,47099.29,15912.05,12890.19
Italy,1995,401114.61,140126.79,10227.88,85.71,1259.60,1601.99,5142.46,2138.12,265.50,265.05,94.07,170.49,0.48,0.45,253504.82,150609.55,102895.27,-3010.38,29060.90,3819.74,34545.56,34124.80,10493.38,7280.58
Italy,2000,412772.46,154306.23,9891.10,86.40,1318.82,2030.34,4484.59,1970.94,239.81,239.57,122.91,116.63,0.03,0.25,253959.75,151529.02,102430.73,-5624.44,32295.86,3575.44,38071.58,37925.53,10130.91,6455.53
Italy,2005,435534.27,170173.47,8769.53,61.46,1355.81,1865.08,4005.09,1482.08,378.63,378.11,155.27,222.12,0.72,0.52,262678.06,157855.21,104822.85,-6465.43,33116.49,3137.85,39185.08,39244.30,9148.16,5487.17
Italy,2010,448662.83,188386.24,8088.84,69.64,1366.62,1648.46,3706.99,1297.13,439.34,437.45,336.87,98.97,1.61,1.89,262628.69,153932.70,108695.99,-10880.27,31034.35,1199.78,37722.82,37647.74,8528.18,5004.12
Italy,2014,427465.53,188054.69,8092.66,55.55,1364.40,1856.39,3628.44,1187.88,526.65,526.65,426.27,99.29,1.09,0.00,241349.57,141436.92,99912.65,-10558.03,28879.26,1360.03,35365.03,35366.02,8619.31,4816.32
Jamaica,1995,80091.50,31362.08,9587.46,135.26,533.34,516.63,5773.94,2628.28,6920.28,0.00,0.00,0.00,0.00,6920.28,35969.41,24201.73,11767.68,-3747.73,4537.91,908.63,5191.86,4973.94,16507.74,8402.23
Jamaica,2000,70505.31,27697.95,5854.61,51.15,507.91,631.73,3204.32,1459.50,2650.03,0.00,0.00,0.00,0.00,2650.03,37067.38,19047.87,18019.51,-2764.66,4294.47,,4887.02,4699.08,8504.64,4663.83
Jamaica,2005,75731.35,29567.79,5281.42,37.02,490.69,917.17,2613.37,1223.18,2082.12,0.00,0.00,0.00,0.00,2082.12,43042.49,26903.75,16138.74,-4242.47,4469.08,494.54,5198.10,4885.24,7363.54,3836.54
Jamaica,2010,72492.65,29620.18,5306.82,54.65,476.38,707.46,3039.00,1029.32,2075.56,0.00,0.00,0.00,0.00,2075.56,41651.41,26187.37,15464.04,-6161.31,4364.67,482.30,4955.25,4772.54,7382.38,4068.32
Jamaica,2014,71766.19,30313.01,5504.88,76.90,467.07,656.91,3430.39,873.61,1299.55,0.00,0.00,0.00,0.00,1299.55,41884.18,26386.29,15497.89,-7235.43,4484.38,517.86,4993.19,4890.27,6804.43,4304.00
Japan,1995,542452.52,105388.15,3407.61,143.30,1734.27,293.07,725.35,511.62,10.01,7.86,3.38,1.97,2.51,2.15,428698.38,319504.55,109193.83,4948.37,26938.86,,33097.11,33383.49,3417.62,1236.97
Japan,2000,564578.52,126731.60,3238.16,96.75,1712.53,330.80,701.20,396.89,6.62,6.24,4.42,1.59,0.23,0.38,426462.33,318095.50,108366.83,8139.81,28065.47,4290.20,34573.68,35067.58,3244.78,1098.08
Japan,2005,529738.51,143732.85,3194.15,68.52,1704.10,331.00,742.80,347.73,14.46,11.31,5.96,4.56,0.80,3.14,371139.90,276041.87,95098.03,11657.14,29864.61,3899.69,36397.04,37186.07,3208.61,1090.53
Japan,2010,545379.62,163411.96,3626.57,103.35,1702.26,407.26,917.36,496.35,27.97,15.74,10.82,4.92,0.00,12.23,358425.20,267193.91,91231.29,19887.92,29584.12,2298.54,36490.54,37433.13,3654.54,1413.71
Japan,2014,584500.34,179276.96,3698.56,105.02,1714.38,426.42,945.72,507.02,42.79,22.85,11.88,10.97,0.00,19.94,377731.19,282085.21,95645.98,23750.84,31394.43,2189.55,38139.40,39518.99,3741.35,1452.75
Jordan,1995,48915.38,13349.06,17213.61,15.37,25.49,163.66,1878.30,15130.79,15.47,15.47,1.18,14.29,0.00,0.00,20826.76,17546.09,3280.67,-2489.52,2982.51,794.05,3442.63,3300.10,17229.08,17009.08
Jordan,2000,48448.51,14668.01,15033.56,12.30,23.10,213.52,1193.31,13591.33,22.59,22.59,2.22,20.37,0.00,0.00,21561.08,18076.24,3484.84,-2836.74,3283.77,466.61,3651.99,3695.40,15056.15,14784.64
Jordan,2005,42860.63,17242.53,7324.83,10.11,20.65,198.68,1395.51,5699.89,32.61,32.61,2.19,30.41,0.00,0.00,25365.59,21164.55,4201.04,-7104.93,4103.21,298.19,4447.25,4566.09,7357.44,7095.39
Jordan,2010,54361.28,17658.82,8530.39,10.81,16.89,206.66,1508.86,6787.18,2876.07,44.74,3.21,41.53,0.00,2831.32,28824.73,23971.74,4852.98,-3528.73,4449.94,499.71,4924.88,4886.24,11406.46,8296.04
Jordan,2014,49286.94,17576.87,6541.30,11.89,14.85,193.20,1440.80,4880.57,2334.35,37.67,2.40,35.28,0.00,2296.68,27312.17,22668.86,4643.32,-4477.76,4340.63,662.76,4830.98,4774.78,8875.65,6321.37
Kazakhstan,1995,102799.42,41522.68,20796.74,21.36,39.70,442.50,8169.61,12123.56,8807.65,7103.03,3765.09,1047.05,2290.89,1704.62,32282.43,18758.08,13524.35,-610.07,3612.33,-479.10,4497.41,4465.29,29604.39,20293.17
Kazakhstan,2000,96506.34,42288.13,15619.40,24.38,41.83,424.78,3571.18,11557.23,9800.19,8516.01,7007.00,790.66,718.34,1284.18,32229.83,18465.95,13763.88,-3431.20,3230.45,-1071.25,5403.42,5032.98,25419.59,15128.41
Kazakhstan,2005,138592.88,50480.76,15176.49,37.37,40.76,421.22,4427.55,10249.59,29742.78,26610.24,20336.90,3014.31,3259.03,3132.54,46428.88,26797.58,19631.30,-3236.04,4902.92,-774.35,8695.28,7878.42,44919.27,14677.14
Kazakhstan,2010,171820.63,43222.99,13617.45,11.06,37.51,412.76,3775.51,9380.61,58076.20,49837.11,40875.83,3005.15,5956.12,8239.10,59747.96,33602.62,26145.34,-2843.97,6956.94,169.41,10912.04,9484.27,71693.65,13156.12
Kazakhstan,2014,180911.37,40149.59,13165.47,10.40,35.41,425.51,3713.28,8980.87,53440.25,46699.95,40444.12,2511.75,3744.08,6740.31,76616.80,44664.99,31951.81,-2460.74,8836.31,882.73,12806.59,11497.16,66605.72,12694.15
Kenya,1995,21471.23,5277.87,9276.78,77.55,50.22,1376.79,3328.41,4443.82,0.32,0.00,0.00,0.00,0.00,0.32,7662.94,4612.13,3050.81,-746.68,730.24,-15.79,1069.23,1031.39,9277.10,7772.22
Kenya,2000,16319.51,3093.62,6676.19,42.06,38.01,1021.31,2321.83,3252.97,0.10,0.00,0.00,0.00,0.00,0.10,6847.55,4129.40,2718.15,-297.94,759.73,-107.13,1048.02,1037.31,6676.29,5574.80
Kenya,2005,17717.21,3547.17,7152.82,45.25,38.01,1102.68,2519.72,3447.17,2.59,0.00,0.00,0.00,0.00,2.59,7183.98,4357.17,2826.81,-169.35,811.14,-52.17,1101.16,1100.80,7155.41,5966.89
Kenya,2010,18292.55,3044.79,6937.43,48.09,34.82,1172.77,2082.03,3599.72,11.04,0.00,0.00,0.00,0.00,11.04,8437.82,5104.66,3333.16,-138.53,935.73,-88.71,1232.57,1228.02,6948.47,5681.75
Kenya,2014,19412.19,3356.08,6745.74,43.08,32.39,1133.23,2108.52,3428.54,24.89,0.00,0.00,0.00,0.00,24.89,9556.28,5774.94,3781.34,-270.81,1019.80,-146.50,1368.49,1359.44,6770.63,5537.05
Kuwait,1995,787563.10,118397.00,779.18,5.77,2.57,107.57,250.74,412.53,274998.16,274998.16,272986.09,2012.06,0.00,0.00,306019.44,178621.12,127398.32,87369.32,49702.33,12653.43,48386.79,57075.42,275777.34,663.27
Kuwait,2000,855006.08,109630.50,1303.75,1.76,2.55,174.42,456.12,668.90,371823.58,371823.58,368376.42,3447.15,0.00,0.00,280885.38,164312.28,116573.10,91362.88,45830.68,16845.84,45110.82,53123.16,373127.33,1125.03
Kuwait,2005,1065404.11,94725.61,1656.66,1.76,2.49,623.55,415.08,613.79,511200.86,511200.86,506142.60,5058.26,0.00,0.00,349618.19,202501.56,147116.63,108202.79,50869.06,22633.71,57064.29,62136.29,512857.52,1028.86
Kuwait,2010,1109188.13,76326.24,1912.34,1.31,2.07,900.57,430.92,577.46,586171.37,586171.37,580126.95,6044.42,0.00,0.00,279186.88,155977.94,123208.94,165591.31,40005.06,,44734.65,48014.39,588083.71,1008.38
Kuwait,2014,1123143.56,74879.16,2366.54,1.41,1.69,1142.06,450.61,770.76,588862.14,588862.14,581497.10,7365.04,0.00,0.00,271628.03,154331.08,117296.95,185407.68,37839.95,12763.45,43332.47,47262.53,591228.68,1221.37
Kyrgyzstan,1995,15537.50,3373.29,6828.01,4.43,2.89,617.42,1734.78,4468.49,143.44,114.93,66.44,9.72,38.76,28.52,5477.08,3233.81,2243.27,-284.32,596.92,-11.23,682.34,667.79,6971.45,6203.27
Kyrgyzstan,2000,17660.28,4305.65,8824.21,6.04,2.72,834.43,2080.19,5900.82,113.86,77.65,71.02,3.61,3.02,36.22,5530.32,3270.47,2259.85,-1113.76,670.21,-19.33,834.44,784.49,8938.07,7981.02
Kyrgyzstan,2005,20466.69,4655.64,10433.10,4.97,2.62,990.84,2386.93,7047.75,728.68,157.20,117.04,10.65,29.50,571.48,5297.12,3143.04,2154.08,-647.85,819.23,36.50,953.37,919.18,11161.78,9434.69
Kyrgyzstan,2010,23941.29,6075.27,11215.25,4.38,1.93,1063.86,2715.43,7429.65,1068.34,192.01,121.12,10.54,60.36,876.33,6035.10,3571.33,2463.77,-452.67,847.65,38.24,1122.31,1050.89,12283.59,10145.08
Kyrgyzstan,2014,24428.87,6158.75,11080.30,4.56,1.72,1086.96,2473.33,7513.74,1489.89,166.78,97.32,3.98,65.48,1323.11,6728.60,4007.39,2721.21,-1028.67,958.81,-100.44,1279.77,1240.76,12570.19,9987.06
Laos,1995,15908.99,1126.65,8569.98,780.15,1205.61,2918.26,2546.39,1119.57,0.02,0.02,,,0.02,0.00,7020.21,4116.17,2904.05,-807.86,568.84,,661.47,659.22,8570.00,3665.96
Laos,2000,20334.37,1429.61,11620.12,932.67,1060.25,4960.57,3624.36,1042.28,4.73,4.73,,,4.73,0.00,8609.41,5047.96,3561.45,-1329.50,676.79,-98.65,811.21,778.04,11624.85,4666.64
Laos,2005,26128.58,3263.42,15733.84,816.26,1006.55,7276.92,5211.44,1422.67,516.49,36.86,,,36.86,479.63,7920.63,4337.18,3583.45,-1305.81,832.07,-70.23,1021.05,996.51,16250.33,6634.12
Laos,2010,32550.15,3856.29,16590.06,831.26,975.45,7944.82,5411.38,1427.15,2643.36,96.80,,,96.80,2546.57,10991.39,6059.67,4931.72,-1530.95,940.44,-103.25,1377.54,1290.20,19233.42,6838.53
Laos,2014,39306.96,5278.86,18865.59,925.51,951.70,9034.05,6368.43,1585.90,3724.41,74.92,,,74.92,3649.49,13762.39,7618.53,6143.86,-2324.29,1251.19,-222.78,1754.90,1667.39,22590.00,7954.33
Latvia,1995,98414.90,41099.26,13766.99,2101.88,5432.30,1321.98,2048.99,2861.83,0.00,0.00,0.00,0.00,0.00,0.00,43710.64,21555.45,22155.19,-161.99,3618.27,-1285.36,5831.70,5874.18,13766.99,4910.82
Latvia,2000,115345.37,47583.64,14918.17,4507.49,5762.37,1469.98,1563.96,1614.37,0.00,0.00,0.00,0.00,0.00,0.00,54615.98,27481.34,27134.64,-1772.42,5629.60,-492.49,7867.14,7857.38,14918.17,3178.34
Latvia,2005,172726.67,76284.22,15288.61,4702.40,6199.05,1360.80,1506.75,1519.63,0.00,0.00,0.00,0.00,0.00,0.00,87806.97,44572.81,43234.15,-6653.14,9505.26,487.15,12335.41,12207.24,15288.61,3026.37
