Entity,Year,ghg_kcal,ghg_protein,ghg_fat,land_use_100g,land_use_kcal,land_use_protein,land_use_fat,eutrophication_100g,eutrophication_kcal,eutrophication_protein,eutrophication_fat,water_scarcity_100g,water_scarcity_kcal,water_scarcity_protein,water_scarcity_fat,biodiversity_100g,biodiversity_kcal,biodiversity_protein,biodiversity_fat,water_100g,water_kcal,water_protein,water_fat,nutriscore
Tomatoes,0,0.007409586,0.319826429,0.746261667,0.087749374,0.00289804,0.125233622,0.292211786,0.593498725,0.01960233,0.846552296,1.97528869,496.4296156,16.45279444,708.9100828,1654.123526,0.584673863,0.01929853,0.83404898,1.946114286,28.72269085,0.949032895,40.96827883,95.5926506,16.66666667
Tortilla wraps,0,0.000215162,0.012720908,0.014966284,0.221805107,0.000501126,0.0295824,0.035453784,0.4889693,0.001117782,0.065702377,0.080525011,853.3033655,1.934183348,114.2061276,138.3952885,4.004189003,0.00887794,0.52834101,0.612909313,22.72555567,0.052780452,3.098139893,3.797714556,30.60303892
Tuna,1,0.006057422,0.048524098,1.122754595,0.565422316,0.002565261,0.020891542,0.472395686,6.270393304,0.028383246,0.228364377,5.267277229,3884.747156,17.53724823,142.6266898,3272.362197,12.31242289,0.055283496,0.455163152,10.23201041,384.7950931,1.762351145,14.00978196,326.3019259,20.98393577
Vegetable lasagne,0,0.001184038,0.059027041,0.035061402,0.405247533,0.001486506,0.075729583,0.045761204,1.156430525,0.004165629,0.210603631,0.125568449,1206.640354,4.448776813,230.2317815,137.5681046,17.56274477,0.064222171,3.137593215,1.872956696,38.78016968,0.139898822,7.085455971,4.198961696,41.374269
Vegetarian chilli con carne,0,0.001300825,0.024225268,0.095286054,0.34693256,0.0031575,0.058802129,0.231288373,0.671954113,0.006115584,0.113890528,0.447969409,554.9590148,5.050789059,94.06084997,369.9726766,16.59837198,0.151064986,2.813283387,11.06558132,15.24829968,0.138777717,2.584457573,10.16553312,38.8888889
Vegetarian pizza,0,0.001189431,0.043341423,0.048053658,0.618638457,0.001638888,0.059745933,0.067493587,1.772950883,0.004700202,0.173787179,0.193139921,1940.256678,5.356169587,196.8113269,202.2425827,26.39170317,0.072604559,2.494748483,2.842773719,63.02497502,0.169875212,6.391709379,6.721099225,36.57835284
Walnuts,0,0.000295788,0.022358096,0.007087747,1.082416597,0.001113935,0.067018631,0.017853951,1.718029372,0.001697954,0.108004513,0.029026899,14246.6397,11.62942032,879.5616662,227.2908017,23.65289314,0.02347554,1.463976747,0.387798306,308.7438556,0.270390104,18.95859982,4.923194432,26.71744325
Watermelon,0,0.001979315,0.20145115,0.2594551,0.100419089,0.001981953,0.20205525,0.251995533,1.250134644,0.02416857,2.477967517,2.944040967,1300.322481,25.4097034,2584.513856,3110.599223,3.279554787,0.064249226,6.557421083,8.024251667,70.90222637,1.367511272,140.5789377,166.59031,27.7044371
Wine,0,0.004181325,0.604108101,,0.174092168,0.003576963,0.524750408,,0.556958635,0.011632377,1.514985564,,194.7231599,4.140356158,430.7731778,,3.768631734,0.078610449,11.10846968,,11.25256648,0.259980315,23.94618598,,46.71957672
Yoghurt,0,0.002522269,0.07472612,,0.328443762,0.00257826,0.077123382,,1.00185293,0.007764923,0.242234656,,659.2769944,5.00096398,164.3658616,,16.2328009,0.130964173,3.817140346,,31.19491534,0.233364416,7.817562887,,31.64618244
