Entity,Year,Afforestation,Conversion as share of forest area,Deforestation,Deforestation as share of forest area,Expansion as share of forest area,Forest area,Forest expansion,Natural forest expansion,Net forest conversion,Share of global afforestation,Share of global deforestation,Share of global forest area,Share of global forest expansion,Share of global net forest conversion,Share of regional afforestation,Share of regional deforestation,Share of regional forest area,Share of regional forest expansion,Share of regional net forest conversion
Brazil,2010,,-0.30086748776879185,1867.8,0.3651036874534164,0.06423619968462453,511580.7,328.62,,-1539.1799999999998,,22.915092209997347,12.458383205072321,4.733814752872744,127.31122672644106,,,,,
Brazil,2015,,-0.2883674998729868,1695.7,0.33652533277447544,0.0481578329014886,503884.8,242.66,,-1453.04,,22.565946540118865,12.338421911770746,5.172961438350178,51.461640352182016,,,,,
British Virgin Islands,1990,,,,,,3.71,,,,,,8.757366473612604e-05,,,,,,,
British Virgin Islands,2000,,,,,,3.67,,,,,,8.826253709455575e-05,,,,,,,
British Virgin Islands,2010,,,,,,3.64,,,,,,8.864391261527897e-05,,,,,,,
British Virgin Islands,2015,,,,,,3.62,,,,,,8.86414659077037e-05,,,,,,,
Brunei,1990,,,,,,413.0,,,,,,0.009748766451757427,,,,,,,
Brunei,2000,,,,,,397.0,,,,,,0.009547745838293906,,,,,,,
Brunei,2010,,,,,,380.0,,,,,,0.00925403483346319,,,,,,,
Brunei,2015,,,,,,380.0,,,,,,0.00930490526102967,,,,,,,
Bulgaria,1990,2.9,0.1442741208295762,0.0,0.0,0.1442741208295762,3327.0,4.8,1.9,4.8,0.1275274623793986,0.0,0.07853304112590064,0.06637195674207719,-0.072767184425397,,,,,
Bulgaria,2000,2.94,1.0725925925925928,0.0,0.0,1.0725925925925928,3375.0,36.2,33.26,36.2,0.10612415804558283,0.0,0.08116786449431217,0.3821157177283749,-1.061331472582759,,,,,
Bulgaria,2010,0.4,0.5137811078405138,0.0,0.0,0.5137811078405138,3737.0,19.2,18.8,19.2,0.01788316925525542,0.0,0.09100612677013668,0.27657855046910323,-1.588102465694505,,,,,
Bulgaria,2015,0.1,0.31307070180015656,0.0,0.0,0.31307070180015656,3833.0,12.0,11.9,12.0,0.006519159810683604,0.0,0.09385711017243875,0.2558128132374604,-0.42499840625597657,,,,,
Burkina Faso,1990,,,,,,7716.6,,,,,,0.1821485016988653,,,,,,,
Burkina Faso,2000,,,,,,7216.5,,,,,,0.17355493159206037,,,,,,,
Burkina Faso,2010,,,,,,6716.5,,,,,,0.16356506568146187,,,,,,,
Burkina Faso,2015,,,,,,6466.4,,,,,,0.15834010363137435,,,,,,,
Burundi,1990,0.0,-2.983940972222222,8.25,2.983940972222222,0.0,276.48,0.0,0.0,-8.25,0.0,0.05973434507626084,0.006526244427559064,0.0,0.12506859823115107,,,,,
Burundi,2000,0.0,0.0,0.0,0.0,0.0,193.94,0.0,0.0,0.0,0.0,0.0,0.004664206115563527,0.0,-0.0,,,,,
Burundi,2010,17.14,8.837784881922245,0.0,0.0,8.837784881922245,193.94,17.14,0.0,17.14,0.7662938025876946,0.0,0.004722967146320661,0.24690397682502235,-1.417712305312699,,,,,
Burundi,2015,0.0,0.0,0.0,0.0,0.0,279.64,0.0,0.0,0.0,0.0,0.0,0.00684743080840615,0.0,-0.0,,,,,
