Entity,Year,‘cost of basic needs’ approach - share of population below poverty line,$1.90 - share of population below poverty line,$5 - share of population below poverty line,$10 - share of population below poverty line,$30 - share of population below poverty line,‘cost of basic needs’ approach - share of population above poverty line,$1.90 - share of population above poverty line,$5 - share of population above poverty line,$10 - share of population above poverty line,$30 - share of population above poverty line,$1.90-$5 - share of population between poverty lines,$5-$10 - share of population between poverty lines,$10-$30 - share of population between poverty lines,‘cost of basic needs’ approach - number below poverty line,$1.90 - number below poverty line,$5 - number below poverty line,$10 - number below poverty line,$30 - number below poverty line,‘cost of basic needs’ approach - number above poverty line,$1.90 - number above poverty line,$5 - number above poverty line,$10 - number above poverty line,$30 - number above poverty line,$1.90-$5 - number between poverty lines,$5-$10 - number between poverty lines,$10-$30 - number between poverty lines
South and South-East Asia,1856,70.06927862272539,69.4072800801473,96.32327770030899,99.65925107063059,99.99819319111451,29.930721377274608,30.592719919852698,3.676722299691008,0.34074892936941126,0.0018068088854903408,26.91599762016169,3.3359733703215966,0.3389421204839209,212131238.0,210127071.0,291613908.0,301713400.0,302739531.0,90613763.0,92617930.0,11131093.0,1031600.0,5470.0,81486837.0,10099493.0,1026130.0
South and South-East Asia,1857,70.3404457785825,69.6631452884052,96.382176271608,99.666607545056,99.9982366547746,29.659554221417494,30.336854711594796,3.617823728391997,0.33339245494400416,0.0017633452253988935,26.7190309832028,3.284431273447993,0.33162910971860526,213951017.0,211890906.0,293160847.0,303150937.0,304159637.0,90213983.0,92274094.0,11004154.0,1014063.0,5363.0,81269941.0,9990090.0,1008700.0
South and South-East Asia,1858,70.56118339421499,69.9130646455815,96.4408719995472,99.6739457715334,99.99828001336219,29.438816605785007,30.0869353544185,3.5591280004528016,0.32605422846660304,0.0017199866378092565,26.5278073539657,3.2330737719861986,0.3243342418287938,215627920.0,213647334.0,294713660.0,304593610.0,305584743.0,89962080.0,91942666.0,10876339.0,996389.0,5256.0,81066326.0,9879950.0,991133.0
South and South-East Asia,1859,70.8111615618637,70.16594261468731,96.4995068218231,99.6812685172326,99.99832323928149,29.1888384381363,29.83405738531269,3.500493178176896,0.3187314827674044,0.0016767607185101951,26.333564207135794,3.1817616954094916,0.3170547220488942,217405844.0,215424880.0,296274715.0,306043424.0,307016851.0,89616155.0,91597119.0,10747284.0,978576.0,5148.0,80849835.0,9768708.0,973428.0
South and South-East Asia,1860,71.05909079548141,70.41811070953919,96.5580282071807,99.6885800187016,99.99836644746169,28.94090920451859,29.581889290460808,3.4419717928193023,0.31141998129839976,0.001633552538308436,26.139917497641505,3.1305518115209026,0.3097864287600913,219189582.0,217212408.0,297843859.0,307500391.0,308455961.0,89271418.0,91248591.0,10617141.0,960609.0,5039.0,80631451.0,9656531.0,955570.0
South and South-East Asia,1861,71.3053622924245,70.6696114076414,96.61643606231,99.6958767581413,99.9984096051152,28.694637707575495,29.330388592358602,3.383563937689999,0.3041232418587043,0.0015903948848006166,25.946824654668603,3.0794406958312948,0.3025328469739037,220977457.0,219007246.0,299417234.0,308960513.0,309898071.0,88925543.0,90895754.0,10485766.0,942487.0,4929.0,80409988.0,9543279.0,937558.0
South and South-East Asia,1862,71.58181354871111,70.919235885524,96.6684433397262,99.7019445657849,99.9984429567787,28.41818645128889,29.080764114475997,3.3315566602738045,0.29805543421510095,0.0015570432212967944,25.749207454202192,3.0335012260587035,0.29649839099380415,222874271.0,220811296.0,300982998.0,310427986.0,311351152.0,88481728.0,90544704.0,10373002.0,928013.0,4848.0,80171702.0,9444988.0,923166.0
South and South-East Asia,1863,71.82286777964741,71.1646390691831,96.7202888482083,99.708000458389,99.9984762922986,28.17713222035259,28.835360930816904,3.2797111517917017,0.2919995416110055,0.001523707701394983,25.555649779025202,2.987711610180696,0.2904758339096105,224670549.0,222611531.0,302552670.0,311898590.0,312807233.0,88141451.0,90200469.0,10259330.0,913410.0,4766.0,79941139.0,9345920.0,908643.0
South and South-East Asia,1864,72.0713872350922,71.410485820811,96.7720735805348,99.71404777328719,99.9985095826286,27.928612764907797,28.589514179188996,3.2279264194652058,0.2859522267128085,0.001490417371400099,25.36158775972379,2.9419741927523972,0.2844618093414084,226504514.0,224427446.0,304133337.0,313379315.0,314273315.0,87773485.0,89850553.0,10144663.0,898685.0,4684.0,79705891.0,9245978.0,894001.0
South and South-East Asia,1865,72.3018655318101,71.6543004858686,96.8237480815797,99.7200827838311,99.9985428279775,27.698134468189906,28.345699514131397,3.1762519184203057,0.2799172161688972,0.0014571720224978435,25.16944759571109,2.8963347022514085,0.27846004414639935,228290971.0,226246304.0,305718079.0,314863169.0,315742399.0,87456029.0,89500696.0,10028920.0,883830.0,4601.0,79471776.0,9145090.0,879229.0
South and South-East Asia,1866,72.5345929710495,71.8977715355405,96.8752791049909,99.72610077443021,99.99857594123391,27.465407028950494,28.1022284644595,3.124720895009105,0.2738992255697923,0.0014240587660907522,24.977507569450395,2.8508216694393127,0.27247516680370154,230097137.0,228076987.0,307311635.0,316355126.0,317219482.0,87126863.0,89147013.0,9912365.0,868874.0,4517.0,79234649.0,9043491.0,864357.0
South and South-East Asia,1867,72.75971574964821,72.1402109764213,96.9267167888359,99.732107708323,99.9986090156356,27.24028425035179,27.8597890235787,3.073283211164096,0.26789229167700057,0.0013909843644057673,24.786505812414603,2.8053909194870954,0.2665013073125948,231891762.0,229917345.0,308914169.0,317855203.0,318704566.0,86817237.0,88791655.0,9794830.0,853797.0,4433.0,78996825.0,8941033.0,849364.0
South and South-East Asia,1868,73.0178014377349,72.3853797429938,96.978104313658,99.7381048537229,99.9986420508246,26.982198562265097,27.614620257006194,3.021895686342006,0.261895146277098,0.0013579491754001083,24.59272457066419,2.760000540064908,0.26053719710169787,233803000.0,231777986.0,310523890.0,319361411.0,320195652.0,86397000.0,88422014.0,9676110.0,838588.0,4348.0,78745904.0,8837522.0,834240.0
South and South-East Asia,1869,73.2654945801066,72.6292172013254,97.02938613533611,99.7440909380328,99.9986750475913,26.734505419893395,27.370782798674597,2.970613864663889,0.255909061967202,0.0013249524086944575,24.400168934010708,2.714704802696687,0.2545841095585075,235692898.0,233646013.0,312140624.0,320873748.0,321692738.0,86004102.0,88050987.0,9556376.0,823252.0,4262.0,78494611.0,8733124.0,818989.0
South and South-East Asia,1870,73.8012844303164,73.2045992206898,97.1166031891373,99.75314926789311,99.998723872596,26.1987155696836,26.7954007793102,2.883396810862706,0.24685073210689268,0.0012761274039974069,23.912003968447493,2.6365460787558135,0.24557460470289527,241347912.0,239396608.0,317594600.0,326216738.0,327019826.0,85676087.0,87627391.0,9429400.0,807261.0,4173.0,78197992.0,8622138.0,803088.0
South and South-East Asia,1871,73.6483753197123,73.03829120595941,97.1708736782611,99.7614115633798,99.99875456389799,26.3516246802877,26.96170879404059,2.8291263217388973,0.2385884366202049,0.0012454361020104443,24.132582472301692,2.5905378851186924,0.23734300051819446,241721333.0,239718976.0,318924525.0,327426929.0,328205913.0,86488667.0,88491025.0,9285476.0,783071.0,4088.0,79205549.0,8502404.0,778983.0
South and South-East Asia,1872,73.4884797693457,72.8747681900012,97.22567271759101,99.7697708111255,99.9988011364167,26.5115202306543,27.125231809998795,2.77432728240899,0.23022918887450317,0.0011988635832977934,24.350904527589805,2.544098093534487,0.22903032529120537,242059294.0,240037826.0,320245810.0,328625662.0,329380051.0,87324706.0,89346173.0,9138190.0,758338.0,3949.0,80207983.0,8379852.0,754389.0
South and South-East Asia,1873,73.3399419293104,72.70384993006141,97.27839274838381,99.777748325427,99.9988312713588,26.6600580706896,27.29615006993859,2.7216072516161915,0.22225167457300188,0.0011687286412040976,24.5745428183224,2.4993555770431897,0.22108294593179778,242439113.0,240336390.0,321572211.0,329834305.0,330565137.0,88129887.0,90232610.0,8996790.0,734695.0,3863.0,81235821.0,8262095.0,730832.0
South and South-East Asia,1874,73.19435695684861,72.5372117809985,97.3317215019453,99.7858532866705,99.9988612798816,26.80564304315139,27.462788219001496,2.668278498054704,0.21414671332949808,0.00113872011840499,24.79450972094679,2.454131784725206,0.2130079932110931,242828867.0,240648729.0,322906746.0,331048549.0,331755223.0,88930133.0,91110272.0,8852254.0,710451.0,3778.0,82258018.0,8141803.0,706673.0
South and South-East Asia,1875,73.0129287808289,72.3641192022933,97.3840758559362,99.7937780589276,99.9988911323972,26.9870712191711,27.635880797706704,2.615924144063797,0.20622194107239977,0.0011088676027952715,25.019956653642907,2.4097022029913973,0.2051130734696045,243097277.0,240937059.0,324241255.0,332264383.0,332947309.0,89853724.0,92013942.0,8709746.0,686618.0,3692.0,83304196.0,8023128.0,682926.0
South and South-East Asia,1876,72.8569692383405,72.1932976973814,97.43619964747559,99.8016599384992,99.99892070264809,27.143030761659503,27.806702302618604,2.56380035252441,0.19834006150080086,0.0010792973519073712,25.242901950094193,2.3654602910236093,0.19726076414889349,243452291.0,241234626.0,325584035.0,333488244.0,334147393.0,90698709.0,92916374.0,8566965.0,662755.0,3606.0,84349409.0,7904209.0,659149.0
South and South-East Asia,1877,72.6894608358619,72.0229930598163,97.4884072414666,99.809572468106,99.99893428836411,27.310539164138106,27.9770069401837,2.5115927585333964,0.1904275318940023,0.0010657116358885332,25.465414181650303,2.321165226639394,0.18936182025811377,243768468.0,241533428.0,326933223.0,334717389.0,335352426.0,91587532.0,93822571.0,8422777.0,638610.0,3574.0,85399794.0,7784167.0,635036.0
South and South-East Asia,1878,72.53912516516769,71.8705912205279,97.5437327510428,99.81800167573161,99.9989794124036,27.46087483483231,28.1294087794721,2.4562672489572037,0.1819983242683918,0.0010205875964004463,25.673141530514897,2.274268924688812,0.18097773667199135,244142032.0,241891974.0,328299040.0,335953456.0,336562565.0,92423968.0,94674026.0,8266960.0,612544.0,3435.0,86407066.0,7654416.0,609110.0
South and South-East Asia,1879,72.3691806428298,71.691960681469,97.5937615793378,99.8255387373474,99.9990084853567,27.630819357170196,28.308039318531,2.4062384206622056,0.1744612626525992,0.0009915146433030486,25.901800897868796,2.2317771580096064,0.17346974800929615,244451513.0,242163972.0,329656111.0,337194698.0,337780651.0,93332487.0,95620027.0,8127888.0,589302.0,3349.0,87492139.0,7538586.0,585953.0
South and South-East Asia,1880,72.0137096411053,71.4915391917898,97.64285006765519,99.8329304656835,99.9990216501916,27.986290358894706,28.508460808210202,2.357149932344811,0.16706953431649652,0.0009783498084061648,26.15131087586539,2.1900803980283143,0.16609118450809035,244131517.0,242361323.0,331016097.0,338440623.0,339003684.0,94875483.0,96645678.0,7990903.0,566377.0,3317.0,88654775.0,7424526.0,563061.0
South and South-East Asia,1881,71.75187657888699,71.280749558447,97.6906490459269,99.84027358616599,99.9990371296826,28.248123421113007,28.719250441553,2.3093509540730963,0.15972641383400799,0.0009628703173945041,26.409899487479905,2.1496245402390883,0.15876354351661348,245372762.0,243761630.0,334076620.0,341427777.0,341970707.0,96601237.0,98212369.0,7897380.0,546223.0,3293.0,90314990.0,7351157.0,542930.0
South and South-East Asia,1882,71.6376694441323,71.12148732879861,97.74002727405609,99.8475026538963,99.9990481099199,28.3623305558677,28.878512671201392,2.2599727259439106,0.1524973461037007,0.0009518900801026575,26.61853994525748,2.10747537984021,0.15154545602359804,247675064.0,245890452.0,337919529.0,345205767.0,345729709.0,98057936.0,99842548.0,7813472.0,527234.0,3291.0,92029077.0,7286238.0,523943.0
South and South-East Asia,1883,71.4900373630623,70.94233866235909,97.7891055278368,99.8549386758023,99.9990734220961,28.5099626369377,29.05766133764091,2.2108944721632042,0.14506132419769813,0.0009265779038969413,26.846766865477704,2.065833147965506,0.14413474629380119,249658223.0,247745544.0,341500092.0,348714415.0,349217764.0,99562776.0,101475455.0,7720908.0,506585.0,3236.0,93754548.0,7214323.0,503349.0
South and South-East Asia,1884,71.2334356396213,70.7576125956304,97.8399683155291,99.8627740503143,99.99911338978819,28.766564360378695,29.242387404369595,2.160031684470894,0.1372259496856998,0.0008866102118076924,27.0823557198987,2.0228057347851944,0.1363393394738921,251268109.0,249589696.0,345119726.0,352254951.0,352735873.0,101470892.0,103149305.0,7619274.0,484049.0,3127.0,95530031.0,7135225.0,480922.0
South and South-East Asia,1885,69.8225400309521,69.32231990134609,97.71380504473301,99.8597598942594,99.9991223781158,30.177459969047902,30.67768009865391,2.2861949552669927,0.14024010574060242,0.0008776218842001526,28.391485143386916,2.1459548495263903,0.13936248385640226,248755367.0,246973243.0,348123019.0,355768369.0,356264873.0,107512633.0,109294757.0,8144981.0,499631.0,3127.0,101149776.0,7645350.0,496504.0
South and South-East Asia,1886,71.3724552099375,70.8562544644442,98.0150413668414,99.8849881727768,99.9992078216368,28.6275447900625,29.143745535555794,1.9849586331585982,0.11501182722319925,0.0007921783631985591,27.158786902397196,1.869946805935399,0.11421964886000069,256812368.0,254954974.0,352677721.0,359406164.0,359817149.0,103007632.0,104865025.0,7142278.0,413836.0,2850.0,97722747.0,6728443.0,410985.0
South and South-East Asia,1887,69.1499371838857,68.62335588125241,97.785177258032,99.8763620476894,99.9991723670234,30.850062816114303,31.376644118747592,2.214822741968007,0.12363795231060237,0.0008276329765948276,29.161821376779585,2.0911847896574045,0.12281031933400754,251292255.0,249378648.0,355353290.0,362952698.0,363398993.0,112109745.0,114023352.0,8048710.0,449303.0,3008.0,105974642.0,7599407.0,446295.0
South and South-East Asia,1888,68.73431450776259,68.18646950039539,97.8114855300813,99.8851029081163,99.99921570254871,31.26568549223741,31.81353049960461,2.188514469918701,0.11489709188370512,0.0007842974512897172,29.62501602968591,2.073617378034996,0.1141127944324154,252270056.0,250259344.0,358989671.0,366600303.0,367019122.0,114751944.0,116762656.0,8032330.0,421698.0,2879.0,108730326.0,7610632.0,418819.0
South and South-East Asia,1889,70.1031702035358,69.5476812674657,98.0825767678211,99.9061865426578,99.9992900976456,29.896829796464203,30.452318732534295,1.9174232321789049,0.09381345734219337,0.0007099023544014926,28.53489550035539,1.8236097748367115,0.09310355498779188,259854926.0,257795867.0,363567591.0,370327257.0,370672368.0,110820074.0,112879132.0,7107409.0,347743.0,2631.0,105771724.0,6759666.0,345112.0
South and South-East Asia,1890,67.7972136251149,67.1904552439433,97.84753910887271,99.9016957455934,99.99925879164469,32.20278637488509,32.809544756056695,2.1524608911272907,0.09830425440659951,0.0007412083553077764,30.657083864929405,2.054156636720691,0.09756304605129174,253792089.0,251520750.0,366282477.0,373972007.0,374337225.0,120547910.0,122819250.0,8057522.0,367992.0,2775.0,114761728.0,7689530.0,365218.0
South and South-East Asia,1891,72.6280656988345,72.09108981255011,98.4529944928367,99.92578184119971,99.99923367190739,27.371934301165496,27.90891018744989,1.5470055071633055,0.07421815880029214,0.0007663280926095695,26.361904680286585,1.4727873483630134,0.07345183070768257,273030687.0,271012034.0,370114342.0,375650991.0,375927119.0,102899312.0,104917966.0,5815658.0,279008.0,2881.0,99102308.0,5536649.0,276127.0
South and South-East Asia,1892,68.8605624812442,68.3345095022849,98.0088957776226,99.90642670415369,99.99919143681299,31.1394375187558,31.665490497715098,1.9911042223774018,0.09357329584631202,0.0008085631870073939,29.674386275337696,1.8975309265310898,0.09276473265930463,260081524.0,258094659.0,370172738.0,377339580.0,377689946.0,117611476.0,119598341.0,7520261.0,353420.0,3054.0,112078080.0,7166841.0,350366.0
South and South-East Asia,1893,67.6268309504343,67.1303156814813,97.84788470740719,99.8980614920165,99.9991365271403,32.3731690495657,32.86968431851869,2.1521152925928106,0.10193850798350468,0.0008634728597058938,30.717569025925883,2.050176784609306,0.10107503512379878,256612715.0,254728668.0,371287712.0,379067190.0,379450723.0,122841285.0,124725332.0,8166288.0,386810.0,3276.0,116559044.0,7779478.0,383533.0
South and South-East Asia,1894,66.95977120208761,66.47499783361191,97.75725143175869,99.8927912999072,99.9990937056938,33.04022879791239,33.52500216638809,2.2427485682413106,0.10720870009279793,0.0009062943062048134,31.28225359814678,2.1355398681485127,0.10630240578659311,255270066.0,253421969.0,372678992.0,380820289.0,381225545.0,125958934.0,127807030.0,8550008.0,408711.0,3455.0,119257022.0,8141297.0,405256.0
South and South-East Asia,1895,68.275863308638,67.8033035470153,97.9425834074991,99.8992942811168,99.9990468832204,31.724136691362006,32.196696452984696,2.0574165925009,0.10070571888320501,0.0009531167795984175,30.139279860483796,1.9567108736176948,0.09975260210360659,261491094.0,259681228.0,375112258.0,382606305.0,382988349.0,121500905.0,123310771.0,7879741.0,385695.0,3650.0,115431031.0,7494046.0,382044.0
South and South-East Asia,1896,72.1738661672658,71.743119503224,98.4113930316185,99.9164145578876,99.9989883929133,27.8261338327342,28.256880496776006,1.588606968381498,0.08358544211239405,0.0010116070866956761,26.668273528394508,1.505021526269104,0.08257383502569837,277725037.0,276067524.0,378687040.0,384478363.0,384796107.0,107074963.0,108732476.0,6112960.0,321637.0,3893.0,102619517.0,5791323.0,317744.0
South and South-East Asia,1897,63.735218165488504,63.2353700700372,97.25409360269491,99.8641431194586,99.9989066914232,36.264781834511496,36.7646299299628,2.7459063973050917,0.13585688054139666,0.0010933085767987905,34.01872353265771,2.610049516763695,0.13476357196459787,246403540.0,244471102.0,375989188.0,386079770.0,386600773.0,140201460.0,142133897.0,10615811.0,525229.0,4227.0,131518086.0,10090582.0,521003.0
South and South-East Asia,1898,63.72854785922279,63.23548425604339,97.25667344791489,99.8625877168622,99.99883439327209,36.27145214077721,36.76451574395661,2.743326552085108,0.13741228313780596,0.0011656067279091076,34.0211891918715,2.605914268947302,0.13624667640989685,247536975.0,245621798.0,377768262.0,387890258.0,388419473.0,140887025.0,142802203.0,10655739.0,533742.0,4527.0,132146464.0,10121996.0,529215.0
South and South-East Asia,1899,67.8997685016259,67.5151298693622,97.9049341840734,99.8903459906182,99.9987619003504,32.1002314983741,32.4848701306378,2.0950658159266027,0.10965400938179926,0.001238099649597757,30.3898043147112,1.9854118065448034,0.1084159097322015,264972057.0,263471043.0,382064216.0,389812087.0,390235169.0,125267944.0,126768957.0,8175785.0,427914.0,4832.0,118593173.0,7747871.0,423082.0
South and South-East Asia,1900,66.2009019328915,65.849746656013,97.6732908349787,99.8781574639967,99.9986752340016,33.7990980671085,34.150253343987,2.326709165021299,0.12184253600329953,0.0013247659984045868,31.823544178965705,2.2048666290179995,0.12051777000489494,259540636.0,258163932.0,382928137.0,391572316.0,392044806.0,132509364.0,133886068.0,9121863.0,477684.0,5194.0,124764205.0,8644180.0,472490.0
South and South-East Asia,1901,65.4398084120827,63.7961013213504,97.2179772016427,99.84203424695089,99.9987818993746,34.5601915879173,36.2038986786496,2.7820227983573034,0.15796575304911187,0.0012181006253939586,33.4218758802923,2.6240570453081915,0.1567476524237179,277454317.0,270485262.0,412188668.0,423314250.0,423978835.0,146529683.0,153498738.0,11795332.0,669750.0,5165.0,141703406.0,11125582.0,664585.0
South and South-East Asia,1902,61.6613867222915,60.0083036093091,96.57421631869289,99.8108372986147,99.9987669400764,38.3386132777085,39.9916963906909,3.4257836813071094,0.18916270138529967,0.001233059923606561,36.56591270938379,3.2366209799218097,0.1879296414616931,263493904.0,256429883.0,412684804.0,426515662.0,427318731.0,163830096.0,170894117.0,14639196.0,808338.0,5269.0,156254921.0,13830858.0,803068.0
South and South-East Asia,1903,61.0305693289656,59.455698505278995,96.48147430609511,99.8046334986643,99.9987109958864,38.9694306710344,40.544301494721005,3.5185256939048912,0.19536650133569822,0.0012890041136017771,37.02577580081611,3.323159192569193,0.19407749722209644,262812279.0,256030507.0,415472384.0,429782705.0,430618449.0,167811721.0,174593493.0,15151616.0,841295.0,5551.0,159441877.0,14310321.0,835744.0
South and South-East Asia,1904,61.296998318686605,59.71972940827251,96.5338270280526,99.80821961127239,99.9986941743328,38.703001681313395,40.28027059172749,3.466172971947401,0.19178038872760794,0.0013058256672024982,36.81409761978009,3.274392583219793,0.19047456306040544,266050427.0,259204528.0,418990597.0,433202607.0,434029333.0,167984574.0,174830473.0,15044404.0,832394.0,5668.0,159786069.0,14212010.0,826726.0
South and South-East Asia,1905,62.6024723460433,61.0221821698685,96.78624202899731,99.8214339155295,99.9987045413877,37.3975276539567,38.9778178301315,3.2137579710026927,0.17856608447050348,0.001295458612304401,35.76405985912881,3.035191886532189,0.17727062585819908,273907727.0,266993404.0,423473683.0,436753710.0,437529331.0,163627272.0,170541595.0,14061316.0,781289.0,5668.0,156480279.0,13280027.0,775621.0
South and South-East Asia,1906,61.43555131806669,59.8935906086017,96.5846085128578,99.81095766053309,99.99867036324571,38.56444868193331,40.1064093913983,3.4153914871422018,0.18904233946690852,0.0013296367542920962,36.6910179042561,3.2263491476752932,0.18771270271261642,270893306.0,264094200.0,425879208.0,440105439.0,440933138.0,170045695.0,176844801.0,15059793.0,833561.0,5863.0,161785008.0,14226232.0,827699.0
South and South-East Asia,1907,64.9477355172538,63.4071875438487,97.1963638427723,99.8381631872418,99.9986003448099,35.052264482746196,36.5928124561513,2.8036361572277,0.16183681275819595,0.0013996551900987697,33.7891762989236,2.6417993444695043,0.16043715756809718,288558892.0,281714330.0,431837613.0,443574969.0,444287781.0,155735108.0,162579670.0,12456387.0,719031.0,6219.0,150123283.0,11737356.0,712813.0
South and South-East Asia,1908,64.4621011497253,62.9166354288876,97.1226612145648,99.8333048367121,99.9985543095137,35.5378988502747,37.0833645711124,2.8773387854351995,0.16669516328789769,0.0014456904863067166,34.2060257856772,2.710643622147302,0.16524947280159097,288603918.0,281684698.0,434828838.0,446964688.0,447704528.0,159107082.0,166026303.0,12882162.0,746313.0,6473.0,153144140.0,12135850.0,739840.0
South and South-East Asia,1909,57.90493585161099,56.48142833687741,95.8993497812184,99.7706432725962,99.9985134601875,42.09506414838901,43.51857166312259,4.100650218781595,0.22935672740379687,0.0014865398125039064,39.417921444341,3.8712934913777985,0.22787018759129296,261242750.0,254820482.0,432657588.0,450123238.0,451151293.0,189915249.0,196337517.0,18500411.0,1034761.0,6707.0,177837106.0,17465650.0,1028055.0
South and South-East Asia,1910,57.86671749853139,56.536830168155404,95.9248353677648,99.7687827789145,99.9984157163969,42.13328250146861,43.463169831844596,4.0751646322352,0.23121722108550102,0.0015842836030941498,39.388005199609395,3.843947411149699,0.22963293748240687,262970090.0,256926537.0,435921782.0,453390255.0,454433801.0,191470911.0,197514464.0,18519219.0,1050746.0,7200.0,178995245.0,17468473.0,1043546.0
South and South-East Asia,1911,58.236980105502,56.9712749094073,96.0064094897023,99.77070884522409,99.9983653958302,41.763019894498,43.0287250905927,3.993590510297693,0.22929115477590756,0.0016346041697943292,39.03513458029501,3.7642993555217856,0.22765655060611323,266242584.0,260456147.0,438913462.0,456122747.0,457163527.0,190928415.0,196714853.0,18257538.0,1048253.0,7473.0,178457315.0,17209285.0,1040780.0
South and South-East Asia,1912,58.2863365068181,57.0425617600672,96.0023984675958,99.765813874242,99.9982240061226,41.7136634931819,42.9574382399328,3.997601532404204,0.23418612575800068,0.0017759938774020156,38.959836707528595,3.763415406646203,0.23241013188059867,267520879.0,261812239.0,440628929.0,457902140.0,458968849.0,191456121.0,197164762.0,18348072.0,1074860.0,8151.0,178816690.0,17273211.0,1066709.0
South and South-East Asia,1913,59.2919297793759,58.1134248055828,96.1904178367544,99.7629770479733,99.9977972068943,40.7080702206241,41.8865751944172,3.8095821632455937,0.23702295202670598,0.0022027931056953776,38.076993031171604,3.5725592112188878,0.2348201589210106,273204168.0,267773876.0,443224283.0,459685850.0,460767850.0,187573832.0,193004123.0,17553716.0,1092150.0,10150.0,175450407.0,16461567.0,1082000.0
South and South-East Asia,1914,56.544105938042996,55.3879798169729,95.5674457324823,99.7242437982388,99.9976328723454,43.455894061957004,44.6120201830271,4.432554267517702,0.2757562017611974,0.0023671276545940145,40.1794659155094,4.1567980657565045,0.2733890741066034,261571338.0,256223133.0,442092137.0,461321361.0,462586050.0,201025662.0,206373867.0,20504863.0,1275640.0,10950.0,185869004.0,19229223.0,1264690.0
South and South-East Asia,1915,57.9721527406419,56.810117067067104,95.87387389151691,99.73967089732359,99.99754665017831,42.0278472593581,43.189882932932896,4.126126108483092,0.2603291026764083,0.002453349821692541,39.063756824449804,3.8657970058066837,0.25787575285471576,269211083.0,263814822.0,445219096.0,463171084.0,464368607.0,195168917.0,200565178.0,19160904.0,1208916.0,11393.0,181404274.0,17951988.0,1197523.0
South and South-East Asia,1916,56.2647450647766,55.135375543151,95.4451633966249,99.7008776686596,99.99705854008411,43.7352549352234,44.864624456849,4.554836603375094,0.29912233134039923,0.0029414599158883448,40.30978785347391,4.2557142720346945,0.2961808714245109,262349565.0,257083575.0,445038844.0,464882261.0,466263284.0,203927434.0,209193425.0,21238155.0,1394739.0,13715.0,187955269.0,19843417.0,1381023.0
South and South-East Asia,1917,57.2024022807347,56.058820047024206,95.61112955994709,99.6977699120049,99.9966377775941,42.7975977192653,43.941179952975794,4.388870440052912,0.302230087995099,0.0033622224058973416,39.55230951292288,4.086640352057813,0.29886786558920164,267815355.0,262461229.0,447640791.0,466773992.0,468173258.0,200373645.0,205727771.0,20548209.0,1415008.0,15742.0,185179562.0,19133201.0,1399266.0
South and South-East Asia,1918,64.2424872283998,63.061418027176295,96.8851681192617,99.75851146000801,99.9968276463504,35.757512771600204,36.938581972823705,3.1148318807382935,0.24148853999199105,0.00317235364960311,33.82375009208541,2.8733433407463025,0.23831618634238794,301710344.0,296163535.0,455014410.0,468508866.0,469628101.0,167932656.0,173479464.0,14628590.0,1134134.0,14899.0,158850874.0,13494456.0,1119235.0
South and South-East Asia,1919,57.480075046076095,56.511005446657,95.6462462194871,99.6785642981901,99.9955326195367,42.519924953923905,43.488994553343,4.353753780512903,0.32143570180990366,0.004467380463296422,39.135240772830095,4.032318078703,0.31696832134660724,270957625.0,266389489.0,450870666.0,469878771.0,471372941.0,200436375.0,205004511.0,20523334.0,1515229.0,21059.0,184481177.0,19008105.0,1494170.0
South and South-East Asia,1920,61.9901731444388,60.9029236851374,96.4768852868055,99.7203059874591,99.9957468314045,38.0098268555612,39.0970763148626,3.523114713194502,0.27969401254090087,0.004253168595496959,35.573961601668096,3.2434207006536013,0.2754408439454039,293503013.0,288355246.0,456786214.0,472142741.0,473446863.0,179963987.0,185111754.0,16680786.0,1324259.0,20137.0,168430969.0,15356527.0,1304122.0
South and South-East Asia,1921,58.6856308854801,57.62487330587061,95.8641859784683,99.6966757537061,99.9960925250704,41.3143691145199,42.37512669412939,4.135814021531701,0.3033242462938972,0.003907474929604859,38.23931267259769,3.8324897752378035,0.29941677136429234,279879403.0,274820512.0,457188766.0,475466408.0,476894365.0,197033597.0,202092488.0,19724235.0,1446593.0,18635.0,182368253.0,18277642.0,1427958.0
South and South-East Asia,1922,56.8102668027127,55.8073471296611,95.3979364841542,99.6467573836574,99.9950114672263,43.1897331972873,44.1926528703389,4.602063515845799,0.3532426163425981,0.004988532773694487,39.5905893544931,4.248820899503201,0.34825408356890364,273762995.0,268930025.0,459713117.0,480187760.0,481865961.0,208127006.0,212959975.0,22176884.0,1702241.0,24039.0,190783091.0,20474643.0,1678202.0
South and South-East Asia,1923,59.142213004125196,58.1401691394605,95.9355124769896,99.6889937682312,99.9955705359735,40.857786995874804,41.8598308605395,4.064487523010399,0.3110062317688005,0.004429464026500796,37.795343337529104,3.7534812912415987,0.3065767677422997,288029674.0,283149600.0,467217457.0,485497362.0,486990427.0,198982325.0,203862399.0,19794542.0,1514638.0,21572.0,184067857.0,18279904.0,1493066.0
South and South-East Asia,1924,56.9085463655981,56.0186834555738,95.4556640248727,99.6559584088035,99.9955472094973,43.0914536344019,43.9813165444262,4.5443359751272965,0.34404159119650046,0.004452790502696757,39.4369805692989,4.200294383930796,0.3395888006938037,279999153.0,275620885.0,469657139.0,490323259.0,491994091.0,212016846.0,216395114.0,22358860.0,1692740.0,21908.0,194036254.0,20666120.0,1670831.0
